State	Model	DGPost	GDagSlide	RateActivate	RateDeactivate	bubbleLeft	bubbleRight	deltaGDaggerBacktrack	hybridLen	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	logPrior	chiSquared
0	2	-1.4892109438	20.0756068659	0.0732418368	0.0904475149	1.0000000000	3.0000000000	-0.6227240529	10.0000000000	57.6353657212	0.0780000000	0.0550000000	0.0490000000	0.0440000000	0.0380000000	0.0120000000	0.0080000000	0.0100000000	0.0040000000	0.0010000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	0.0170000000	0.0100000000	0.0050000000	0.0080000000	0.0040000000	0.0000000000	0.0010000000	0.0000000000	0.0010000000	0.0000000000	0.0010000000	0.0010000000	0.0000000000	0.0010000000	0.0020000000	-14.287786	0.081176
20	2	-1.4892109438	20.0756068659	0.0732418368	0.0792439270	1.0000000000	3.0000000000	-0.6227222618	11.0000000000	57.6857672661	0.0070000000	0.0110000000	0.0030000000	0.0050000000	0.0020000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0150000000	0.0200000000	0.0110000000	0.0170000000	0.0120000000	0.0020000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0020000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-14.007156	0.137268
40	2	-1.7286858515	20.0746670932	0.0732418362	0.0795067288	2.0000000000	3.0000000000	1.1107069881	11.0000000000	60.7512236230	0.0010000000	0.0030000000	0.0010000000	0.0010000000	0.0030000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0080000000	0.0040000000	0.0040000000	0.0050000000	0.0010000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-12.782752	0.145819
60	1	-1.7286858515	20.4336263733	0.0521050129	0.0794845976	3.0000000000	3.0000000000	1.1106958831	11.0000000000	60.6796831810	0.0040000000	0.0050000000	0.0020000000	0.0030000000	0.0040000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0020000000	0.0020000000	0.0000000000	0.0010000000	0.0010000000	0.0170000000	0.0140000000	0.0210000000	0.0140000000	0.0060000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-11.861177	0.141577
80	1	-1.7234042574	20.4219478218	0.0521050680	0.0807179534	2.0000000000	3.0000000000	1.1106958402	11.0000000000	60.6796831810	0.0120000000	0.0130000000	0.0020000000	0.0080000000	0.0030000000	0.0020000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0010000000	0.0000000000	0.0020000000	0.0130000000	0.0220000000	0.0210000000	0.0250000000	0.0060000000	0.0020000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	-11.915554	0.134372
100	2	-1.7234048508	20.5538933442	0.0521050680	0.0520444482	3.0000000000	1.0000000000	6.5352757225	11.0000000000	62.8137772206	0.0180000000	0.0140000000	0.0150000000	0.0140000000	0.0060000000	0.0020000000	0.0020000000	0.0010000000	0.0020000000	0.0020000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0010000000	0.0040000000	0.0020000000	0.0040000000	0.0000000000	0.0000000000	0.0130000000	0.0200000000	0.0150000000	0.0110000000	0.0140000000	0.0010000000	0.0030000000	0.0000000000	0.0010000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-10.560566	0.127532
120	1	-2.4798658844	20.5538801422	0.0522067131	0.0507545283	2.0000000000	2.0000000000	6.4601085722	11.0000000000	62.8378091624	0.0020000000	0.0070000000	0.0050000000	0.0050000000	0.0030000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0130000000	0.0160000000	0.0100000000	0.0170000000	0.0050000000	0.0010000000	0.0020000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	-9.865884	0.141269
140	2	-2.6482112531	20.5538815653	0.0522067136	0.0507543043	3.0000000000	1.0000000000	6.4428814699	11.0000000000	72.2405660922	0.0160000000	0.0130000000	0.0110000000	0.0140000000	0.0100000000	0.0030000000	0.0010000000	0.0020000000	0.0030000000	0.0020000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0010000000	0.0010000000	0.0210000000	0.0170000000	0.0160000000	0.0180000000	0.0040000000	0.0030000000	0.0010000000	0.0010000000	0.0010000000	0.0010000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-9.907001	0.128216
160	1	-2.6482099678	21.1341664400	0.0521994600	0.0502503580	2.0000000000	1.0000000000	4.9586613832	11.0000000000	102.8300189890	0.0400000000	0.0300000000	0.0330000000	0.0210000000	0.0120000000	0.0020000000	0.0020000000	0.0020000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0040000000	0.0040000000	0.0010000000	0.0010000000	0.0010000000	0.1880000000	0.1390000000	0.1290000000	0.0950000000	0.0600000000	0.0030000000	0.0020000000	0.0010000000	0.0030000000	0.0010000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	-9.764816	0.151218
180	2	-2.7619268742	21.1612651146	0.0521994600	0.0502503580	2.0000000000	2.0000000000	4.7018615081	11.0000000000	25.4243494066	0.0090000000	0.0070000000	0.0080000000	0.0080000000	0.0050000000	0.0000000000	0.0030000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0020000000	0.0000000000	0.0000000000	0.0020000000	0.0010000000	0.0470000000	0.0250000000	0.0320000000	0.0230000000	0.0100000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	-10.079738	0.133817
200	1	-4.3490467078	21.1612651146	0.0334199886	0.0502503580	3.0000000000	3.0000000000	4.7018615081	11.0000000000	25.4475380862	0.0110000000	0.0050000000	0.0020000000	0.0010000000	0.0040000000	0.0000000000	0.0010000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0020000000	0.0000000000	0.0140000000	0.0120000000	0.0050000000	0.0080000000	0.0020000000	0.0010000000	0.0000000000	0.0010000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	-11.271864	0.138106
