# Posterior distribution. Wed Nov 08 2017 11:23:03 GMT+1300 (NZDT)
	Sample	DGPost	kCat	Kdiss	NTP1	v(NTP1)	NTP2	v(NTP2)	NTP3	v(NTP3)	NTP4	v(NTP4)	NTP5	v(NTP5)	NTP6	v(NTP6)	NTP7	v(NTP7)	NTP8	v(NTP8)	NTP9	v(NTP9)	F1	v(F1)	F2	v(F2)	F3	v(F3)	F4	v(F4)	F5	v(F5)	F6	v(F6)	F7	v(F7)	F8	v(F8)	F9	v(F9)	F10	v(F10)	F11	v(F11)	F12	v(F12)	F13	v(F13)	F14	v(F14)	F15	v(F15)	F16	v(F16)	F17	v(F17)	F18	v(F18)	F19	v(F19)	F20	v(F20)	F21	v(F21)	F22	v(F22)	F23	v(F23)	F24	v(F24)	F25	v(F25)	F26	v(F26)	F27	v(F27)	F28	v(F28)	F29	v(F29)	F30	v(F30)	F31	v(F31)	F32	v(F32)	F33	v(F33)	F34	v(F34)	F35	v(F35)	logPrior	RSS
	0	-1.98504	76.9551	77.3664	0.25	0.795329	0.5	1.65926	1	3.23976	2	5.98774	4	11.3954	10	23.4956	50	53.2231	100	62.7305	250	70.1695	-10	0.54658	-5	0.691955	5	1.23059	10	1.77232	14	1.99596	18	2.32711	22	2.84974	29	3.3788	-10	4.93787	-5	6.71099	5	11.3262	10	14.8923	14	16.59	18	19.0168	22	21.0323	29	25.1285	-14	24.7509	-10	31.0652	-5	38.5311	5	49.0182	10	54.8102	14	57.4987	18	60.0317	22	61.9145	29	63.4541	-18	36.3148	-14	41.8828	-10	48.5107	-5	52.8966	5	63.7861	10	67.2839	14	66.8705	18	66.0457	22	69.6518	29	69.82	-12.39	37420
	100	-0.924357	74.6978	41.5408	0.25	0.895874	0.5	1.87908	1	3.66877	2	6.94147	4	13.0747	10	25.663	50	54.853	100	64.1495	250	66.775	-10	0.3796779	-5	0.537701	5	1.08851	10	1.3642	14	1.79311	18	2.43013	22	2.73641	29	4.01177	-10	3.16325	-5	4.63277	5	8.7578	10	11.7729	14	15.5456	18	18.9949	22	21.5094	29	26.5519	-14	19.6611	-10	22.9799	-5	30.4895	5	43.3836	10	49.0402	14	54.8285	18	56.9353	22	59.5797	29	66.7864	-18	30.3473	-14	33.2031	-10	42.1623	-5	48.5235	5	59.1475	10	59.1513	14	63.2874	18	66.8102	22	69.4981	29	67.0561	-12.39	32110
	200	0.988377	36.6643	144.215	0.25	0.02793399	0.5	0.0206599	1	0.163597	2	0.2336079	4	0.4549809	10	1.17821	50	5.3902	100	9.7593	250	17.309	-10	0.0055751	-5	0.00877242	5	0.00794874	10	0.0171276	14	0.0272355	18	0.01911659	22	0.0541134	29	0.167773	-10	0.05868669	-5	0.0936018	5	0.1600919	10	0.330384	14	0.330804	18	0.6572169	22	0.844274	29	1.39694	-14	0.4962499	-10	0.6254449	-5	1.04645	5	2.19446	10	3.19847	14	4.2729	18	5.55302	22	6.95485	29	10.807	-18	0.9646399	-14	1.35649	-10	1.69174	-5	2.54428	5	5.41107	10	6.65323	14	9.40596	18	10.8131	22	13.9231	29	18.547	-12.39	2318
	300	3.45947	58.2362	156.638	0.25	0.00204204	0.5	0.00250324	1	0.0172504	2	0.00955142	4	0.0251912	10	0.19154	50	0.792271	100	1.65105	250	3.8556	-10	0.00837757	-5	0.000376903	5	0.00113025	10	0.00256456	14	0.00647147	18	0.00491057	22	0.0022898	29	0.00432808	-10	0.00167724	-5	0.00648367	5	0.00915118	10	0.0186479	14	0.0689254	18	0.08542369	22	0.127253	29	0.210438	-14	0.045888	-10	0.00957787	-5	0.06942269	5	0.3076149	10	0.437036	14	0.635705	18	0.788446	22	1.07837	29	1.86665	-18	0.104184	-14	0.18164	-10	0.201708	-5	0.323826	5	0.712861	10	1.0986	14	1.57785	18	1.90224	22	2.70414	29	4.57449	-12.39	5220
	400	-0.7345149	18.607	95.678	0.25	0.02357699	0.5	0.177945	1	0.371115	2	0.6869719	4	1.37141	10	3.16153	50	9.49425	100	12.6068	250	15.6586	-10	0.0126466	-5	0.00919415	5	0.0945618	10	0.109386	14	0.187504	18	0.1910299	22	0.261252	29	0.4136459	-10	0.27615	-5	0.357357	5	0.96543	10	1.21092	14	1.55695	18	2.07135	22	2.55715	29	3.1702	-14	2.13272	-10	2.62255	-5	3.88189	5	6.35863	10	7.38591	14	8.96982	18	10.4733	22	11.3088	29	12.9906	-18	3.31999	-14	4.44388	-10	5.32701	-5	7.36861	5	10.2704	10	12.2741	14	13.026	18	13.8326	22	14.7991	29	16.1858	-12.39	1056
	500	3.41589	19.6683	254.978	0.25	0.000178262	0.5	0.00176968	1	0.00244269	2	0.0030119	4	0.00289535	10	0.02530679	50	0.1874239	100	0.3159619	250	0.8567039	-10	0.000789358	-5	0.00386194	5	0.012928	10	0.00382476	14	0.000345878	18	0.000689723	22	0.00430181	29	0.00246585	-10	0.000294605	-5	0.00083967	5	0.00224856	10	0.00414792	14	0.00783325	18	0.00451984	22	0.00724455	29	0.02340229	-14	0.00247931	-10	0.00976688	-5	0.0129786	5	0.0530761	10	0.1325619	14	0.0908701	18	0.169151	22	0.216351	29	0.415989	-18	0.01030899	-14	0.00880342	-10	0.030025	-5	0.03474489	5	0.147505	10	0.233921	14	0.295654	18	0.3237919	22	0.502282	29	1.04886	-12.39	5934
	600	-2.17918	13.8728	285.443	0.25	0.0205208	0.5	0.09133039	1	0.166505	2	0.341111	4	0.674129	10	1.52261	50	5.38695	100	7.50095	250	10.6111	-10	0.012587	-5	0.00659889	5	0.0350093	10	0.07718799	14	0.111424	18	0.137183	22	0.153329	29	0.177506	-10	0.1640339	-5	0.4004689	5	0.721835	10	0.896311	14	1.04213	18	1.23325	22	1.35898	29	1.62079	-14	1.95491	-10	2.45622	-5	3.18011	5	5.01967	10	5.60902	14	6.42997	18	6.91373	22	7.29374	29	7.5451	-18	3.07532	-14	3.8142	-10	4.84	-5	5.8433	5	8.03583	10	8.6887	14	9.44386	18	9.76438	22	10.5883	29	10.6398	-12.39	2143
	700	-1.90858	14.024	245.804	0.25	0.0384455	0.5	0.0883957	1	0.1877629	2	0.362429	4	0.724208	10	1.7521	50	5.59113	100	7.87204	250	10.945	-10	0.0041689	-5	0.0159675	5	0.0582998	10	0.1106689	14	0.121933	18	0.143308	22	0.154562	29	0.187227	-10	0.2401589	-5	0.3381369	5	0.702514	10	0.946569	14	1.08203	18	1.27811	22	1.45551	29	1.69568	-14	1.64822	-10	2.39126	-5	2.9539	5	4.71516	10	6.04506	14	6.28827	18	6.94017	22	7.42227	29	8.09736	-18	3.08236	-14	3.67341	-10	4.50626	-5	5.70285	5	7.85881	10	8.85578	14	9.15838	18	9.88254	22	10.3399	29	10.7866	-12.39	2118
	800	-3.14483	11.09	204.631	0.25	0.0585686	0.5	0.1166369	1	0.229786	2	0.452075	4	0.860154	10	2.01238	50	5.72646	100	7.85302	250	8.98161	-10	0.0173917	-5	0.105741	5	0.154682	10	0.1713589	14	0.190102	18	0.201233	22	0.218931	29	0.236028	-10	0.713135	-5	0.846447	5	1.33395	10	1.50468	14	1.61085	18	1.70557	22	1.82245	29	2.07579	-14	3.84232	-10	4.33409	-5	5.31686	5	6.26775	10	6.72009	14	6.97815	18	7.35104	22	7.49048	29	7.42487	-18	5.44208	-14	6.38763	-10	7.13735	-5	7.56898	5	8.72052	10	8.84428	14	8.8625	18	9.07258	22	9.29508	29	9.43702	-12.39	2009
	900	-1.07047	10.6757	112.001	0.25	0.0337129	0.5	0.111776	1	0.2104579	2	0.431965	4	0.8254119	10	1.85166	50	5.55036	100	6.89762	250	9.10472	-10	0.00495889	-5	0.01189859	5	0.02276829	10	0.0741478	14	0.11546	18	0.118473	22	0.163187	29	0.223737	-10	0.1570669	-5	0.257312	5	0.5780569	10	0.8598859	14	0.965692	18	1.25725	22	1.55612	29	2.00263	-14	1.35232	-10	1.79526	-5	2.42196	5	3.93265	10	5.02536	14	5.50791	18	6.12107	22	6.59335	29	7.49939	-18	2.18518	-14	2.90401	-10	3.36411	-5	4.47206	5	6.1826	10	7.24762	14	7.67935	18	8.10137	22	8.64393	29	9.17543	-12.39	2557
