# Posterior distribution. Wed Nov 08 2017 11:28:47 GMT+1300 (NZDT)
	Sample	GDagSlide	DGPost	kCat	Kdiss	NTP1	v(NTP1)	NTP2	v(NTP2)	NTP3	v(NTP3)	NTP4	v(NTP4)	NTP5	v(NTP5)	NTP6	v(NTP6)	NTP7	v(NTP7)	NTP8	v(NTP8)	NTP9	v(NTP9)	F1	v(F1)	F2	v(F2)	F3	v(F3)	F4	v(F4)	F5	v(F5)	F6	v(F6)	F7	v(F7)	F8	v(F8)	F9	v(F9)	F10	v(F10)	F11	v(F11)	F12	v(F12)	F13	v(F13)	F14	v(F14)	F15	v(F15)	F16	v(F16)	F17	v(F17)	F18	v(F18)	F19	v(F19)	F20	v(F20)	F21	v(F21)	F22	v(F22)	F23	v(F23)	F24	v(F24)	F25	v(F25)	F26	v(F26)	F27	v(F27)	F28	v(F28)	F29	v(F29)	F30	v(F30)	F31	v(F31)	F32	v(F32)	F33	v(F33)	F34	v(F34)	F35	v(F35)	logPrior	RSS
	0	8.19185	-0.120544	17.8271	151.674	0.25	0.02935059	0.5	0.0317294	1	0.0696342	2	0.217469	4	0.440893	10	0.818237	50	2.05854	100	2.35719	250	2.585	-10	0.02887209	-5	0.02758329	5	0.0299625	10	0.0320929	14	0.0322005	18	0.031883	22	0.0645027	29	0.15316	-10	0.0902886	-5	0.0327834	5	0.2113999	10	0.2972619	14	0.3540089	18	0.50249	22	0.612219	29	0.9397409	-14	0.315615	-10	0.3838749	-5	0.516595	5	0.916276	10	1.16763	14	1.43149	18	1.70925	22	1.9459	29	2.5902	-18	0.3661919	-14	0.479531	-10	0.521829	-5	0.711718	5	1.1183	10	1.31106	14	1.56117	18	1.90008	22	2.30737	29	2.85282	-14.47	5012
	100	6.80649	1.96791	95.9326	111.44	0.25	0.6507919	0.5	1.28305	1	2.34206	2	3.91704	4	5.907	10	8.64746	50	12.0944	100	12.0486	250	12.3202	-10	0.418327	-5	0.5435679	5	0.962726	10	1.24636	14	1.5207	18	1.73615	22	2.04062	29	2.45627	-10	1.87714	-5	2.37935	5	3.85633	10	4.76311	14	5.51844	18	6.34971	22	7.58064	29	9.27482	-14	2.52265	-10	2.9319	-5	3.70468	5	5.16785	10	6.79025	14	7.55641	18	8.107	22	9.11332	29	12.2293	-18	2.25009	-14	2.72796	-10	3.14733	-5	3.66893	5	5.17534	10	6.7407	14	7.64861	18	8.53252	22	9.44456	29	12.7353	-14.47	1719
	200	8.66301	0.65354	3.64173	51.8337	0.25	0.0295517	0.5	0.0650958	1	0.1230079	2	0.214164	4	0.3805949	10	0.662793	50	1.12882	100	1.2754	250	1.25279	-10	0.02987859	-5	0.02855669	5	0.02935179	10	0.0387362	14	0.0324283	18	0.0308827	22	0.0322557	29	0.1346149	-10	0.0503039	-5	0.143946	5	0.1982799	10	0.2797389	14	0.344727	18	0.454825	22	0.526897	29	0.728182	-14	0.2588249	-10	0.3036609	-5	0.39415	5	0.595214	10	0.750761	14	0.844115	18	0.9243709	22	1.05179	29	1.27845	-18	0.296085	-14	0.32266	-10	0.390828	-5	0.4627409	5	0.656358	10	0.8251759	14	0.9287599	18	1.07138	22	1.15278	29	1.39365	-14.47	5484
	300	7.08634	-1.97332	17.8725	13.3535	0.25	0.0330234	0.5	0.143142	1	0.263511	2	0.51241	4	0.9228419	10	1.97427	50	4.66059	100	5.23375	250	6.05405	-10	0.03135869	-5	0.03191849	5	0.03275799	10	0.09998169	14	0.104603	18	0.139122	22	0.189881	29	0.293209	-10	0.032489	-5	0.213696	5	0.447659	10	0.5849139	14	0.79184	18	1.06179	22	1.41598	29	2.11902	-14	0.716888	-10	0.8608429	-5	1.1476	5	2.08757	10	2.60692	14	3.37621	18	3.68213	22	4.5686	29	5.65185	-18	0.8557939	-14	1.07706	-10	1.34754	-5	1.60808	5	2.60741	10	3.57274	14	3.84331	18	4.3676	22	5.17648	29	6.35255	-14.47	3744
	400	6.6883	2.56063	11.8343	139.521	0.25	0.0881286	0.5	0.166634	1	0.3230429	2	0.611763	4	1.09225	10	2.24141	50	4.87314	100	5.63447	250	6.26067	-10	0.0737887	-5	0.1050659	5	0.1697219	10	0.2192909	14	0.229434	18	0.2733319	22	0.286806	29	0.32971	-10	0.5963109	-5	0.745871	5	1.24701	10	1.4496	14	1.72942	18	1.83433	22	1.94081	29	2.22398	-14	1.67566	-10	2.10855	-5	2.5064	5	3.46862	10	4.03127	14	4.2963	18	4.8132	22	5.24041	29	5.87935	-18	1.87143	-14	2.19027	-10	2.55717	-5	2.77054	5	3.76383	10	4.43261	14	4.74804	18	5.44681	22	5.72472	29	6.47466	-14.47	3276
	500	7.45544	-0.632833	77.4303	228.342	0.25	0.03163039	0.5	0.1256189	1	0.244993	2	0.4288349	4	0.83234	10	1.61595	50	4.39762	100	5.01644	250	6.21458	-10	0.0300974	-5	0.0311548	5	0.03261779	10	0.0783946	14	0.0475357	18	0.160835	22	0.142563	29	0.242612	-10	0.134051	-5	0.204122	5	0.3582329	10	0.5706749	14	0.6513669	18	0.97158	22	1.37291	29	1.88286	-14	0.575357	-10	0.744939	-5	0.9788479	5	1.78421	10	2.32452	14	2.84647	18	3.40459	22	4.28741	29	5.76433	-18	0.729598	-14	0.949059	-10	1.13417	-5	1.48109	5	2.43799	10	2.92506	14	3.71482	18	4.16992	22	4.79573	29	6.48585	-14.47	3868
	600	6.4302	-1.7062	62.0554	9.52549	0.25	0.4190029	0.5	0.761693	1	1.40404	2	2.85623	4	4.66475	10	8.06923	50	13.2904	100	13.6998	250	14.4798	-10	0.0741168	-5	0.140536	5	0.2881599	10	0.410941	14	0.597764	18	0.784215	22	1.01837	29	1.61551	-10	0.766346	-5	1.14061	5	2.15466	10	3.13667	14	3.82359	18	5.24649	22	5.89711	29	8.95638	-14	2.39799	-10	3.07044	-5	3.63195	5	5.75383	10	7.7451	14	8.6057	18	9.60486	22	11.6831	29	14.8537	-18	2.35886	-14	3.21281	-10	3.75493	-5	4.67271	5	6.90022	10	8.37661	14	9.39896	18	11.0239	22	12.7007	29	15.7039	-14.47	1200
	700	4.33814	-1.7326	5.99079	240.715	0.25	0.0172379	0.5	0.022902	1	0.0237484	2	0.02833459	4	0.03086319	10	0.07478699	50	0.291494	100	0.58667	250	1.26397	-10	0.0223008	-5	0.01804049	5	0.0259275	10	0.02029369	14	0.02205219	18	0.0239067	22	0.02397889	29	0.0305052	-10	0.0230612	-5	0.02717149	5	0.0285749	10	0.03156089	14	0.03203529	18	0.0325468	22	0.0325346	29	0.1020939	-14	0.03256	-10	0.0327859	-5	0.0372682	5	0.145108	10	0.191224	14	0.2252259	18	0.283554	22	0.362355	29	0.675821	-18	0.037667	-14	0.06839089	-10	0.03299039	-5	0.1452699	5	0.25642	10	0.3884229	14	0.4628819	18	0.622475	22	0.9557899	29	1.40415	-14.47	5807
	800	7.17255	1.7537	81.7783	46.5137	0.25	1.17826	0.5	2.05315	1	3.5057	2	4.65975	4	6.34319	10	7.53972	50	8.94489	100	8.43805	250	8.40939	-10	0.556272	-5	0.744721	5	1.35711	10	1.69655	14	2.15457	18	2.47474	22	2.9406	29	3.71274	-10	1.74845	-5	2.10114	5	3.32952	10	3.89263	14	4.77532	18	5.59623	22	6.23066	29	7.75372	-14	1.80986	-10	2.12353	-5	2.59237	5	3.71143	10	4.28125	14	5.1891	18	6.112	22	7.49551	29	9.43802	-18	1.58905	-14	1.79998	-10	2.25153	-5	2.70889	5	4.05571	10	4.82585	14	5.63296	18	6.14094	22	7.26492	29	9.43889	-14.47	2585
	900	5.95334	1.26948	83.6637	227.234	0.25	0.2452319	0.5	0.42072	1	0.90045	2	1.66525	4	3.23288	10	6.6929	50	15.6896	100	19.0675	250	21.6248	-10	0.124494	-5	0.1403889	5	0.282333	10	0.426462	14	0.4350779	18	0.598781	22	0.757106	29	0.9493889	-10	0.847173	-5	1.26317	5	2.3572	10	2.78982	14	3.93126	18	4.76332	22	5.31124	29	7.14897	-14	3.19616	-10	4.16711	-5	4.9716	5	8.38888	10	10.6855	14	11.9328	18	13.4446	22	16.7558	29	20.6495	-18	3.65535	-14	4.55784	-10	5.2386	-5	6.80267	5	9.61966	10	12.0533	14	13.7159	18	15.6459	22	18.412	29	22.5541	-14.47	434.8
