# Posterior distribution. Tue Nov 07 2017 15:11:41 GMT+1300 (NZDT)
	Sample	DGPost	kCat	Kdiss	NTP1	v(NTP1)	NTP2	v(NTP2)	NTP3	v(NTP3)	NTP4	v(NTP4)	NTP5	v(NTP5)	NTP6	v(NTP6)	NTP7	v(NTP7)	NTP8	v(NTP8)	NTP9	v(NTP9)	F1	v(F1)	F2	v(F2)	F3	v(F3)	F4	v(F4)	F5	v(F5)	F6	v(F6)	F7	v(F7)	F8	v(F8)	F9	v(F9)	F10	v(F10)	F11	v(F11)	F12	v(F12)	F13	v(F13)	F14	v(F14)	F15	v(F15)	F16	v(F16)	F17	v(F17)	F18	v(F18)	F19	v(F19)	F20	v(F20)	F21	v(F21)	F22	v(F22)	F23	v(F23)	F24	v(F24)	F25	v(F25)	F26	v(F26)	F27	v(F27)	F28	v(F28)	F29	v(F29)	F30	v(F30)	F31	v(F31)	F32	v(F32)	F33	v(F33)	F34	v(F34)	F35	v(F35)	logPrior	RSS
	0	-2.27274	28.4564	100.757	0.25	0.2307709	0.5	0.505575	1	0.9555629	2	2.00465	4	3.78772	10	7.90758	50	19.0192	100	21.2543	250	25.6203	-10	0.115813	-5	0.111633	5	0.437667	10	0.589452	14	0.6443679	18	0.795651	22	0.990799	29	1.11078	-10	1.44628	-5	1.83324	5	3.98727	10	4.79082	14	5.36129	18	5.97784	22	6.88793	29	8.42785	-14	8.89901	-10	11.0674	-5	12.6117	5	16.2494	10	19.0826	14	20.3651	18	20.1283	22	21.9123	29	21.2998	-18	13.4854	-14	14.5538	-10	16.9071	-5	19.281	5	21.8619	10	22.632	14	24.0119	18	25.0067	22	26.2563	29	26.1556	-11.47	479.1
	100	2.11692	18.3131	45.1906	0.25	0.00588955	0.5	0.0299509	1	0.0154693	2	0.1039539	4	0.126689	10	0.315698	50	2.80714	100	4.87094	250	8.31711	-10	0.00098177	-5	0.00191051	5	0.00579357	10	0.0040155	14	0.00764704	18	0.0182225	22	0.0129486	29	0.0770598	-10	0.01432829	-5	0.00522797	5	0.108925	10	0.125132	14	0.272271	18	0.320993	22	0.3882839	29	0.578807	-14	0.1740809	-10	0.333071	-5	0.494797	5	0.960695	10	1.47961	14	2.03006	18	2.32073	22	3.40887	29	4.66063	-18	0.452368	-14	0.651029	-10	0.9498249	-5	1.29655	5	2.55726	10	3.11365	14	3.92393	18	5.00138	22	6.69122	29	9.04181	-11.47	3970
	200	2.91027	9.22973	35.8604	0.25	0.00412324	0.5	0.0103577	1	0.01358459	2	0.0133259	4	0.0100584	10	0.134073	50	0.7632519	100	1.44239	250	3.07406	-10	0.00644173	-5	0.00655954	5	0.00547888	10	0.00585982	14	0.00515296	18	0.01526039	22	0.03028189	29	0.0116025	-10	0.00683445	-5	0.0147333	5	0.00918245	10	0.01732309	14	0.0394348	18	0.0488278	22	0.1096999	29	0.199156	-14	0.02169169	-10	0.0461366	-5	0.06171679	5	0.144619	10	0.530364	14	0.5821529	18	0.8047	22	1.05577	29	1.89287	-18	0.0603658	-14	0.11707	-10	0.0190299	-5	0.373996	5	0.8095359	10	1.07208	14	1.442	18	2.08969	22	2.15694	29	3.59689	-11.47	5313
	300	3.79069	14.8267	90.8825	0.25	0.00811592	0.5	0.02437609	1	0.0169424	2	0.130596	4	0.2629249	10	0.612761	50	2.71275	100	4.87544	250	7.98937	-10	0.00406393	-5	0.0032169	5	0.00343697	10	0.017499	14	0.0148259	18	0.0111316	22	0.0674031	29	0.0851203	-10	0.0094159	-5	0.07109019	5	0.132276	10	0.125767	14	0.196239	18	0.3741819	22	0.47129	29	0.7631319	-14	0.187303	-10	0.4488589	-5	0.540598	5	1.26464	10	1.79703	14	2.35353	18	2.56441	22	4.07338	29	5.35128	-18	0.508996	-14	0.704755	-10	1.03226	-5	1.35828	5	3.2061	10	3.98387	14	5.07369	18	5.46436	22	6.5862	29	8.39223	-11.47	3817
	400	-0.291136	43.8584	45.8836	0.25	0.320241	0.5	0.628651	1	1.16426	2	1.92218	4	4.52817	10	9.42625	50	25.5726	100	29.4142	250	34.8745	-10	0.0828768	-5	0.1213249	5	0.178235	10	0.2068779	14	0.479792	18	0.751663	22	0.8373269	29	1.30547	-10	0.9243619	-5	1.16714	5	2.89755	10	3.60822	14	4.78626	18	6.38437	22	8.35714	29	10.9869	-14	5.66523	-10	7.78086	-5	9.81825	5	17.3209	10	21.382	14	22.2728	18	26.777	22	31.7029	29	35.6998	-18	8.95595	-14	10.7766	-10	14.1448	-5	19.0482	5	27.802	10	31.9186	14	32.8669	18	33.7222	22	36.7865	29	38.8965	-11.47	2326
	500	3.06448	37.8452	81.2146	0.25	0.00187309	0.5	0.048138	1	0.0553353	2	0.02231269	4	0.246723	10	0.643112	50	2.80801	100	5.10086	250	11.8917	-10	0.0091851	-5	0.0033654	5	0.01641459	10	0.0108325	14	0.0244577	18	0.0049621	22	0.00793804	29	0.0210384	-10	0.0614057	-5	0.00886547	5	0.113535	10	0.089239	14	0.113454	18	0.0935227	22	0.3628039	29	0.666677	-14	0.1587269	-10	0.287923	-5	0.4564539	5	0.982683	10	1.67904	14	2.54573	18	2.48507	22	3.75345	29	5.35583	-18	0.371621	-14	0.221527	-10	0.781897	-5	1.05534	5	2.48369	10	3.5735	14	4.69966	18	7.19399	22	8.37004	29	9.86995	-11.47	3681
	600	3.79954	27.2194	105.002	0.25	0.00224634	0.5	0.00678099	1	0.00782177	2	0.0182424	4	0.00425617	10	0.01378989	50	0.437896	100	0.689237	250	1.83174	-10	0.000482831	-5	0.00190572	5	0.00467759	10	0.00513039	14	0.00372654	18	0.00425601	22	0.00734889	29	0.0135353	-10	0.00351493	-5	0.0103702	5	0.00268163	10	0.00681384	14	0.00794906	18	0.00597666	22	0.0254245	29	0.0369003	-14	0.0385629	-10	0.0256231	-5	0.0112853	5	0.0794146	10	0.122156	14	0.243275	18	0.400371	22	0.4927229	29	0.8117019	-18	0.0063121	-14	0.07190389	-10	0.0851947	-5	0.1068539	5	0.173955	10	0.568577	14	0.7181719	18	0.962421	22	1.50068	29	2.02343	-11.47	5698
	700	3.03305	46.5161	112.607	0.25	0.00583472	0.5	0.0159807	1	0.00373512	2	0.00450044	4	0.016161	10	0.206145	50	1.16835	100	2.32129	250	6.52864	-10	0.0017527	-5	0.00265285	5	0.000602537	10	0.00736275	14	0.00416115	18	0.00258552	22	0.00299612	29	0.0259253	-10	0.00655357	-5	0.0134893	5	0.00606449	10	0.0701075	14	0.06620619	18	0.0843355	22	0.126555	29	0.297495	-14	0.0202911	-10	0.02373289	-5	0.139909	5	0.506462	10	0.813172	14	0.777493	18	1.41295	22	1.82206	29	3.24475	-18	0.136844	-14	0.1151359	-10	0.362821	-5	0.543611	5	1.09724	10	1.46746	14	2.02004	18	2.94856	22	3.88266	29	6.24781	-11.47	4802
	800	-2.6417	45.7046	66.5695	0.25	0.711723	0.5	1.4083	1	2.58	2	5.49299	4	8.08625	10	17.3938	50	35.9449	100	39.682	250	40.7312	-10	0.5842579	-5	0.677882	5	1.4136	10	1.57263	14	1.8914	18	2.13934	22	2.22117	29	2.86156	-10	5.48221	-5	6.40296	5	10.6793	10	12.7551	14	12.9168	18	15.3282	22	15.2808	29	19.63	-14	22.3206	-10	26.21	-5	28.8049	5	32.1253	10	36.8716	14	38.5544	18	37.7493	22	37.433	29	38.8993	-18	28.8895	-14	32.3299	-10	34.9662	-5	37.3272	5	39.7987	10	39.3839	14	41.2132	18	44.1389	22	45.1842	29	44.4006	-11.47	10600
	900	-3.32085	27.8409	111.24	0.25	0.27324	0.5	0.526701	1	1.04383	2	2.25317	4	3.78245	10	7.72302	50	18.2741	100	20.795	250	26.4551	-10	0.3131009	-5	0.44188	5	0.7011879	10	0.797657	14	0.843545	18	0.890335	22	1.14488	29	1.17835	-10	3.01401	-5	4.28977	5	5.91099	10	6.715	14	6.72863	18	7.53816	22	8.15672	29	9.02829	-14	13.137	-10	16.2073	-5	17.2686	5	19.3467	10	22.0057	14	22.1638	18	22.9504	22	20.5854	29	23.7579	-18	19.4281	-14	19.0803	-10	21.904	-5	22.7078	5	26.7404	10	24.694	14	22.3323	18	24.8652	22	25.383	29	25.7342	-11.47	1169
