State	Model	DGtaudagP	DGtaudag	RateActivate	RateCleave	RateDeactivate	bubbleLeft	bubbleRight	DGtaudagM	hybridLen	logPrior	rho
0	44	1.6598245228	20.8924700421	0.0036390759	1.4342668977	0.1704116138	0	0	5.405567595	11	-22.826408151	0.24754
1	59	2.3756268483	20.7513405351	0.0403775699	0.1665104753	0.2365050227	2	0	5.1744363291	11	-18.724332541	0.252416
2	3	6.2241241262	20.652946948	0.2490516281	0.1220879254	0.5201228843	2	0	1.1991261883	11	-19.893891562	0.254785
3	59	0.3498739895	22.576355634	0.2169873077	6.9998109302	0.0479501409	3	0	5.2479678477	11	-24.842303657	0.253809
4	12	10.7615847439	20.2579502151	0.2474994697	0.0107350663	0.3625544459	1	0	3.1315379716	11	-23.957087996	0.253308
5	59	0.902302279	21.6844697037	0.1861273076	0.1298308238	0.2970721631	3	0	3.7451285833	11	-20.083116054	0.25314
6	43	2.2240847986	20.1540079453	1.080414864	0.3029204594	0.0132423292	0	0	2.5605092489	11	-21.666563783	0.247421
7	3	4.6374190637	19.2005385307	0.0619810724	0.1977351937	1.0963527769	0	0	2.3193092081	11	-20.997822746	0.254618
8	123	1.9204786721	20.5955999301	0.0875667892	0.6409966129	3.4072131802	1	0	4.8364585337	11	-21.318586614	0.252291
9	115	5.6611721675	19.1090428554	0.2303624341	0.1080304427	0.7949387811	0	0	3.7354791154	11	-20.144738351	0.253865
10	4	6.1982846051	20.2265267652	0.1677063987	0.1098379081	0.1075277354	0	0	-0.6978230036	11	-22.005850905	0.252277
11	59	1.3976258772	21.6515027878	0.8806518563	0.2268379842	0.0575127012	3	0	3.7083430872	11	-20.380243432	0.252137
12	107	1.8650683493	20.8980249602	0.4674524394	0.2913589919	0.5924770862	1	0	5.7327852063	11	-19.537968948	0.252026
13	60	3.2024351605	19.8689941361	0.154819405	0.0277515238	0.2981895983	0	0	5.1553032379	11	-19.163089251	0.25119
14	59	1.7875912053	20.9695888529	0.0345625892	0.4035586252	0.058108365	1	0	3.0596273032	11	-20.021635077	0.248985
15	124	3.3278412736	20.1896697987	0.0154937757	0.9072820762	0.5125973816	3	0	6.8974077737	11	-20.656258867	0.250632
16	44	0.80523892	21.6929081641	0.2402909594	0.145026793	0.0898417812	0	0	4.4843353369	11	-20.004221142	0.25248
17	43	3.4152974533	20.045885481	0.1474919405	0.1243131633	0.0328183475	0	0	4.2112471109	11	-18.747320584	0.253057
18	44	2.3040150608	21.1894751473	0.0207192414	0.1760057699	0.065989776	3	0	7.3472904561	11	-19.982331367	0.254477
19	59	4.369424671	18.7695913098	0.1365828146	0.0220988073	0.2976259438	0	0	0.6806087605	11	-23.15494979	0.254924
20	59	1.61276344	21.0952393536	1.4979927985	0.0090581236	0.0288352171	2	0	4.9485721461	11	-22.190112723	0.254311
21	43	3.6945028616	18.9484455773	0.0144433783	0.0328035026	0.2607887991	0	0	2.482728012	11	-22.200176204	0.245785
