State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	rho
0	11	-1.914041907	5.0166267912	97.235304056	0.7319864057	3.2404052825	25.9602062023	6.431685	7.975366	9.719942	12.003379	16.359018	18.286372	19.548453	20.488143	21.363133	22.391463	6.159261	7.811942	9.771679	13.867817	15.589876	16.962438	17.965459	18.85868	20.007827	0.258201	0.509566	1.000715	1.911628	3.579424	7.331683	16.546031	19.666252	22.253946	1.844286	2.495979	4.111294	4.967587	5.620183	6.213127	6.760706	7.46244	0.215589	0.297252	0.510571	0.632574	0.708181	0.819617	0.909809	1.034509	-11.919323	2.382638
1	11	-1.9208812132	4.9836472281	99.3797237414	0.0086704851	3.3852322224	26.0484936165	6.346902	7.955721	9.730201	12.016923	16.584775	18.545814	19.792036	20.802417	21.561961	22.582494	6.199956	7.667555	9.670014	13.976161	15.835851	17.021462	18.172529	18.95789	20.013031	0.253576	0.500373	0.985876	1.887768	3.532386	7.23207	16.597142	19.759361	22.210167	1.829623	2.452305	4.028539	4.909355	5.602704	6.15221	6.694782	7.416339	0.215688	0.292341	0.500113	0.624751	0.71904	0.812261	0.8977	1.011883	-13.781702	2.386223
2	11	-1.9648271594	5.0176309232	96.835831095	0.0845266188	3.2437403822	25.97242557	6.499922	8.078512	9.892185	12.073088	16.446269	18.30509	19.501226	20.606888	21.338243	22.411222	6.371813	7.783221	9.862487	13.983758	15.702047	17.015171	18.073415	18.917928	19.99829	0.262146	0.517971	1.020779	1.950969	3.594206	7.382001	16.62889	19.804041	22.157649	1.910192	2.565151	4.205424	5.044087	5.716523	6.296485	6.893814	7.541927	0.226952	0.311154	0.530616	0.650805	0.747879	0.844558	0.926617	1.050274	-11.864264	2.381203
3	11	-1.9816293169	4.9651587663	95.977497849	0.0166303871	3.3834723161	25.4961921965	6.438909	8.075457	9.804985	12.109288	16.536087	18.291578	19.530072	20.405217	21.273331	22.187763	6.3235	7.827875	9.882796	14.003004	15.750713	16.944781	18.05228	18.791554	19.825686	0.261038	0.515255	1.006483	1.938058	3.578611	7.299592	16.528367	19.491725	21.894347	1.938814	2.590186	4.228518	5.049089	5.713063	6.299305	6.813676	7.500201	0.22678	0.310312	0.52944	0.653002	0.747214	0.840262	0.9177	1.038792	-13.06528	2.37573
4	11	-1.8922863381	4.9918441652	96.6536959018	14.1991810347	3.1573367859	25.6100576183	6.657706	8.114548	9.730877	11.990806	16.198574	18.080586	19.288368	20.26621	21.068686	22.100761	6.24597	7.701348	9.674808	13.705936	15.476373	16.776677	17.708055	18.589298	19.567798	0.254335	0.50719	0.984121	1.902638	3.506838	7.250478	16.40013	19.276693	21.793575	1.794838	2.461146	4.022574	4.884217	5.520285	6.141745	6.639975	7.346613	0.211582	0.289968	0.4997	0.620174	0.715098	0.807609	0.895205	1.021576	-15.067662	2.386481
5	11	-1.9557722852	5.0456196568	97.531138494	0.0305256459	3.3312206484	26.1380060532	6.316653	7.779025	9.608927	11.880063	16.400971	18.330806	19.641881	20.716704	21.549569	22.515502	6.177655	7.659136	9.655051	13.894485	15.760904	17.068618	18.153066	19.148518	20.06819	0.260435	0.516562	1.013005	1.941332	3.612673	7.399749	16.644303	19.815082	22.37281	1.894662	2.55942	4.215439	5.044563	5.729914	6.323517	6.82975	7.552101	0.223832	0.306917	0.524654	0.649038	0.753944	0.846959	0.924802	1.039114	-12.44647	2.37497
6	11	-2.016027265	5.0356404346	100.6464640175	0.3753331005	3.2860516607	25.8150209076	6.388401	7.917037	9.669132	11.869351	16.297637	18.196143	19.367083	20.422384	21.137439	22.207543	6.240417	7.688242	9.688259	13.800138	15.625321	16.879416	17.932071	18.743566	19.768467	0.252192	0.501732	0.982418	1.886684	3.519484	7.195908	16.350394	19.465493	21.942181	1.9236	2.568373	4.155372	4.978443	5.627225	6.189354	6.685955	7.345374	0.22524	0.305558	0.519319	0.640542	0.732899	0.819627	0.90316	1.009504	-11.80043	2.33658
7	11	-2.0560510774	5.0405255058	101.1634959258	1.3297570782	3.2334279757	25.6135153592	6.467324	8.027067	9.680445	11.834822	16.232794	18.003524	19.251342	20.264538	21.131192	22.072685	6.316961	7.770053	9.769362	13.778558	15.52482	16.825975	17.756724	18.545015	19.585095	0.250396	0.499307	0.979383	1.870236	3.490522	7.12333	16.328598	19.203982	21.731328	1.986713	2.614058	4.195384	5.007016	5.613728	6.171782	6.647263	7.315181	0.229092	0.312127	0.519245	0.642685	0.733029	0.821151	0.896948	1.006589	-12.420534	2.385327
8	11	-1.9922169587	5.0551967699	98.124926833	0.0664123129	3.2514060281	25.8224292216	6.36751	7.924275	9.616694	11.857602	16.239646	18.073548	19.315741	20.413668	21.283115	22.326499	6.266131	7.649699	9.690504	13.847039	15.622411	16.83785	17.958941	18.776529	19.731731	0.259822	0.513021	1.00359	1.925287	3.542045	7.298491	16.494732	19.555182	22.085137	1.937031	2.585508	4.175752	5.005028	5.696004	6.257929	6.771744	7.473731	0.227021	0.308299	0.52712	0.649833	0.749612	0.838909	0.917958	1.031499	-11.988283	2.379149
9	11	-1.8551539698	5.0173451623	95.8917996101	1.5552524885	3.211191014	26.0486972328	6.447158	8.006902	9.800475	12.003177	16.392884	18.18199	19.458881	20.493876	21.470902	22.315003	6.150757	7.589042	9.634494	13.780126	15.602986	16.907649	18.032907	18.844523	20.038414	0.25867	0.512232	1.005176	1.926067	3.579845	7.329944	16.705718	19.730287	22.192707	1.802548	2.446365	4.055906	4.939349	5.550487	6.240793	6.762743	7.53973	0.208819	0.286046	0.500648	0.624957	0.723651	0.826243	0.906637	1.042185	-12.327435	2.381928
