State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	logPrior	chiSquared	
0	11	-1.914041907	5.0166267912	97.235304056	0.7319864057	3.2404052825	25.9602062023	6.431685	7.975366	9.719942	12.003379	16.359018	18.286372	19.548453	20.488143	21.363133	22.391463	6.159261	7.811942	9.771679	13.867817	15.589876	16.962438	17.965459	18.85868	20.007827	0.258201	0.509566	1.000715	1.911628	3.579424	7.331683	16.546031	19.666252	22.253946	1.844286	2.495979	4.111294	4.967587	5.620183	6.213127	6.760706	7.46244	0.215589	0.297252	0.510571	0.632574	0.708181	0.819617	0.909809	1.034509	-11.919323	2.382638	
40000	11	-1.8922863381	4.9918441652	96.6536959018	14.1991810347	3.1573367859	25.6100576183	6.657706	8.114548	9.730877	11.990806	16.198574	18.080586	19.288368	20.26621	21.068686	22.100761	6.24597	7.701348	9.674808	13.705936	15.476373	16.776677	17.708055	18.589298	19.567798	0.254335	0.50719	0.984121	1.902638	3.506838	7.250478	16.40013	19.276693	21.793575	1.794838	2.461146	4.022574	4.884217	5.520285	6.141745	6.639975	7.346613	0.211582	0.289968	0.4997	0.620174	0.715098	0.807609	0.895205	1.021576	-15.067662	2.386481	
80000	11	-1.9922169587	5.0551967699	98.124926833	0.0664123129	3.2514060281	25.8224292216	6.36751	7.924275	9.616694	11.857602	16.239646	18.073548	19.315741	20.413668	21.283115	22.326499	6.266131	7.649699	9.690504	13.847039	15.622411	16.83785	17.958941	18.776529	19.731731	0.259822	0.513021	1.00359	1.925287	3.542045	7.298491	16.494732	19.555182	22.085137	1.937031	2.585508	4.175752	5.005028	5.696004	6.257929	6.771744	7.473731	0.227021	0.308299	0.52712	0.649833	0.749612	0.838909	0.917958	1.031499	-11.988283	2.379149	
120000	11	-1.9817936051	5.035152958	98.3900076777	0.2462068232	3.1627441235	25.9561561965	6.517241	8.114324	9.853303	12.018723	16.2918	18.12496	19.377681	20.276972	21.248047	22.273182	6.361248	7.788168	9.813655	13.869822	15.655774	16.910222	17.923881	18.802577	19.816943	0.257754	0.511407	0.998842	1.919196	3.56842	7.278948	16.445114	19.60502	22.126523	1.928268	2.581583	4.177032	5.014957	5.698723	6.268862	6.7783	7.474627	0.223897	0.308614	0.523807	0.644056	0.743767	0.833794	0.915435	1.026785	-11.697322	2.376029	
160000	11	-1.9682445209	5.0433570247	101.5485263889	0.0105695188	3.2183904084	26.2419348342	6.439092	7.988769	9.713122	11.874689	16.407639	18.191924	19.467434	20.6764	21.501107	22.494219	6.246529	7.673408	9.655189	13.852213	15.640306	16.88626	18.034155	18.840333	19.952124	0.252131	0.501219	0.983439	1.879249	3.519868	7.177972	16.524588	19.587607	22.318796	1.870791	2.521336	4.080986	4.947227	5.591466	6.161262	6.676144	7.369806	0.220072	0.300403	0.505295	0.625873	0.724707	0.81333	0.887598	1.013574	-13.555917	2.370286	
200000	11	-1.9210331879	5.041927229	97.7097785648	0.2085239103	3.0747628163	26.2502226246	6.638451	8.167224	9.805684	12.030086	16.332289	18.191258	19.428304	20.47458	21.194856	22.352111	6.363217	7.833626	9.792538	13.758421	15.600078	16.906747	17.960362	18.920054	19.910789	0.258621	0.5147	1.012109	1.934822	3.581148	7.319687	16.580427	19.710028	22.147177	1.877655	2.505166	4.122837	4.987172	5.656071	6.244378	6.777985	7.484042	0.219072	0.296105	0.511573	0.639637	0.740408	0.83577	0.912411	1.038986	-11.631362	2.349077	
240000	11	-2.055089865	5.088703554	102.5064371459	0.3192544397	3.2031199231	26.3976222913	6.422457	7.97477	9.675316	11.883722	16.339415	18.271647	19.583827	20.510063	21.458145	22.553466	6.303018	7.766966	9.760774	13.960872	15.728058	17.082017	18.049282	18.907293	20.078282	0.256495	0.507309	0.996042	1.908619	3.548714	7.266279	16.638013	19.741041	22.383165	1.96411	2.631707	4.222799	5.087991	5.690727	6.283316	6.790463	7.492436	0.233204	0.317279	0.53541	0.654261	0.747759	0.835622	0.910044	1.020019	-11.784625	2.381155	
280000	11	-1.93830701	4.9818793615	95.7731191006	0.9046152304	3.3060069614	25.7259238565	6.602498	8.082678	9.835043	12.10962	16.534781	18.314102	19.578257	20.582442	21.356164	22.284876	6.291396	7.773336	9.843961	13.909422	15.735767	16.945816	18.107646	18.798484	19.858312	0.260648	0.514468	1.006776	1.940146	3.596687	7.357798	16.631548	19.557533	22.099637	1.901382	2.543192	4.172861	5.035227	5.674416	6.300754	6.82705	7.513458	0.222714	0.301908	0.517714	0.640095	0.746297	0.83694	0.917877	1.037172	-12.058171	2.376364	
320000	11	-1.9134207817	5.0443863764	101.183653183	0.0153381675	3.1387414385	26.5332611602	6.586983	8.075878	9.740984	12.026057	16.360506	18.37093	19.58424	20.72718	21.552289	22.639078	6.214854	7.689102	9.605957	13.80355	15.596915	17.031858	18.108532	18.958367	20.132714	0.253434	0.500725	0.981453	1.886636	3.519661	7.251255	16.647385	19.707788	22.450529	1.8333	2.454556	4.028242	4.887312	5.548021	6.120505	6.693595	7.375304	0.2115	0.289708	0.500107	0.621647	0.721353	0.808116	0.897279	1.017075	-13.077361	2.376027	
360000	11	-1.8754303273	4.9504837234	93.4083056558	0.0571822239	3.3176357702	25.4511120439	6.585315	8.108359	9.872407	12.132726	16.39127	18.306663	19.407011	20.415012	21.109433	22.140328	6.313131	7.695136	9.797346	13.830702	15.664266	16.853692	17.895922	18.740553	19.724757	0.262683	0.519826	1.011122	1.939884	3.586835	7.328575	16.517873	19.533743	21.874076	1.816085	2.480648	4.093714	4.999464	5.625664	6.236135	6.785276	7.486981	0.212061	0.292501	0.504041	0.635307	0.73694	0.829451	0.919772	1.01451	-11.992076	2.38732	
400000	12	-1.9964394764	5.0215586121	86.1058101045	2.4247551992	3.2901776373	25.5406536442	6.481318	8.01243	9.649458	11.915846	16.270167	18.107992	19.321398	20.297374	21.146862	22.192766	6.292256	7.741938	9.768769	13.822539	15.634711	16.902123	17.83996	18.706986	19.628537	0.25878	0.515107	1.001385	1.932623	3.592265	7.302867	16.424084	19.480533	21.958565	1.95637	2.59567	4.188252	5.042513	5.713527	6.286008	6.792923	7.454469	0.230682	0.304112	0.531531	0.653237	0.747836	0.838848	0.914361	1.040038	-12.739901	2.381363	
440000	12	-1.8598716543	5.0205587933	73.0817268469	1.2701238343	3.1708504436	26.1042444179	6.583146	8.054197	9.71971	11.994706	16.411136	18.281607	19.489527	20.594831	21.377212	22.454903	6.310252	7.75496	9.728061	13.850078	15.768726	17.004751	18.065187	19.025505	20.059368	0.265257	0.524772	1.035891	1.982668	3.650719	7.477281	16.659417	19.702175	22.250628	1.835655	2.506145	4.118054	5.026891	5.717158	6.347849	6.89181	7.660891	0.216982	0.297837	0.515024	0.645746	0.743976	0.845114	0.930337	1.063453	-11.954009	2.36904	
480000	12	-1.8728774123	4.9663312357	67.7859331668	1.0021176944	3.3559119599	25.4639063015	6.432509	7.957962	9.782035	12.051848	16.449928	18.142257	19.432803	20.454143	21.225247	22.16405	6.229768	7.701781	9.711378	13.817323	15.71028	16.992819	17.937188	18.781134	19.792461	0.262717	0.516129	1.0151	1.939681	3.581798	7.37178	16.428776	19.509168	21.974463	1.83622	2.462968	4.092634	4.963992	5.643207	6.284881	6.775469	7.555436	0.214221	0.294257	0.511961	0.633267	0.738869	0.832981	0.921037	1.048873	-11.796945	2.339251	
520000	12	-1.8613420781	4.9356995705	76.3951208824	1.288413402	3.2841442368	25.5988941812	6.566874	8.163648	9.843476	12.182384	16.565354	18.340744	19.512925	20.480384	21.280252	22.228482	6.24147	7.725018	9.751499	13.835402	15.636603	16.909816	17.865629	18.755161	19.758562	0.253769	0.504046	0.989861	1.898602	3.537148	7.205896	16.437754	19.480286	21.935408	1.792774	2.382681	3.990688	4.822353	5.486947	6.101118	6.639579	7.365192	0.205325	0.28149	0.49575	0.61263	0.710709	0.805557	0.894142	1.012084	-12.058857	2.389337	
560000	12	-1.9798585809	5.0985370438	67.7510504255	0.8386643498	3.1620567527	26.14040985	6.389134	7.815184	9.513947	11.72825	16.181254	18.047952	19.352222	20.487618	21.295938	22.337494	6.214909	7.658573	9.650627	13.737455	15.561549	16.815639	17.859702	18.819753	19.785399	0.259033	0.514859	1.007566	1.930279	3.569047	7.288978	16.553932	19.604624	22.019869	1.916883	2.543114	4.150745	5.03056	5.691619	6.261557	6.786843	7.459803	0.225845	0.307054	0.524262	0.644283	0.748442	0.830197	0.919263	1.030652	-11.701124	2.366832	
600000	12	-1.977408125	5.0176006725	68.0425601632	0.795097011	3.2220328459	26.1747336226	6.527367	8.05499	9.810613	12.026842	16.451276	18.364063	19.610805	20.50327	21.538307	22.45239	6.30999	7.755151	9.824414	13.899809	15.712358	16.988009	18.063959	18.917633	19.956597	0.254814	0.503573	0.9868	1.895864	3.506957	7.269889	16.492097	19.713533	22.188868	1.924313	2.517886	4.106342	4.979383	5.624009	6.219704	6.708156	7.41331	0.220482	0.302848	0.513513	0.639503	0.736656	0.815595	0.868613	1.0138	-11.712174	2.352414	
640000	12	-1.8594731016	4.960871171	57.4756876506	0.7094036519	3.2956629785	25.3831899085	6.529923	8.017034	9.768364	11.980697	16.332181	18.175681	19.337984	20.358757	21.192261	22.126727	6.1917	7.661637	9.714157	13.819171	15.561046	16.744442	17.788248	18.715004	19.734458	0.259176	0.515978	1.009892	1.934706	3.573588	7.296894	16.530405	19.464436	21.82589	1.818674	2.430319	4.049701	4.914508	5.600403	6.207562	6.76051	7.509872	0.213738	0.289189	0.503979	0.629463	0.726535	0.826216	0.911809	1.035515	-11.487441	2.366096	
680000	12	-2.01556161	5.0404960913	54.4309199101	0.5497498465	3.1727908633	26.1081015381	6.549985	8.098949	9.797169	11.972061	16.386273	18.178101	19.464369	20.402592	21.385911	22.359656	6.315355	7.789492	9.744598	13.882147	15.677338	16.870898	17.938077	18.758547	19.849661	0.25337	0.500355	0.980394	1.885554	3.518429	7.185096	16.413267	19.587552	22.108191	1.931226	2.570762	4.11804	4.9744	5.597182	6.146258	6.700645	7.368754	0.226076	0.306786	0.520392	0.634523	0.732279	0.822919	0.892958	1.005121	-11.411775	2.371316	
720000	12	-1.9863175538	5.0739328294	46.0294915949	0.4705642192	3.124335786	26.6385825728	6.52464	8.058679	9.795981	11.977726	16.359401	18.340098	19.536472	20.621146	21.549464	22.562785	6.347135	7.720118	9.717874	13.881203	15.680373	16.987396	18.058564	18.918379	20.098407	0.255441	0.503356	0.988934	1.896672	3.524384	7.268931	16.641028	19.8192	22.374253	1.895821	2.539216	4.154042	4.94719	5.625563	6.221849	6.704164	7.437242	0.225119	0.303827	0.515591	0.63421	0.729957	0.824849	0.910912	1.022459	-11.198459	2.375751	
