State	Model	DGtau1	DGtaudag	Kdiss(instance0)	Kdiss(instance1)	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho	
0	4	-4.8443269163	9.6759259385	117.3486285788	1.4433685495	0.0558582173	1.9892782591	134.2566531453	18.8670720958	16.0231254627	13.7953846906	29.4386965497	25.1320196172	21.9091146783	39.3320317909	34.0693009948	30.0564106756	48.3328723634	42.3363367271	60.7768040976	53.8720957495	49.2859540489	76.1509093892	69.61513205	64.8031342334	103.2298287515	97.9936825752	94.3838866152	9.0556711853	4.7334873892	
5000	4	-4.8200340364	8.7606733584	110.0173181933	20.671167497	11.5349872671	2.3781227477	130.3393976331	19.3466938194	16.2609487912	13.9398784733	30.0408983135	25.5729289549	22.3096610327	39.767587987	34.1256243155	30.030362537	48.965012543	42.9011460826	60.8389993272	54.0606303577	49.4484286803	76.1404754434	69.1318140606	64.4035146484	101.4624186458	96.9307778254	92.4451845482	6.0641497528	4.5725958541	
10000	4	-4.9580978922	6.9693878547	117.2634852327	10.2656787421	0.8032670188	2.0080076851	128.4958465074	18.5923504325	15.9354532609	13.9516703497	29.272752514	25.1150162149	22.2260096959	38.5872302895	33.8769659619	30.2145930064	47.6703483278	41.8113985793	59.6374010136	53.3450960221	48.8755108673	74.4043092332	68.5197933931	63.9655430455	99.7267737818	95.4000335182	91.3043836304	7.3454381218	4.8446559201	
15000	4	-5.0058126358	7.9319576531	117.1322552401	14.58248825	0.1202463984	0.0827760634	129.9555010556	19.2270509579	16.4351031475	14.3303795697	29.7838323615	25.4738398213	22.9715766699	39.536987707	34.3666771865	30.7465344403	48.5425987129	43.149117533	60.7170530336	54.8866004888	49.883932337	75.6011822641	70.1413499736	65.5029892314	101.3630352864	96.6378753215	93.4361728557	8.8299561669	4.6417948892	
20000	4	-5.1004619493	8.1169516685	127.0563215623	20.2750423702	0.0747458382	1.8376842742	132.7061353919	18.8815621744	16.042396608	14.172902191	29.3767151661	25.4362871753	22.660816304	38.9118320638	34.1044439334	30.662276593	47.9561153184	42.8097313112	59.9003719014	54.4595079756	50.1248222913	75.5445538913	69.8667062287	65.2356629971	101.6644637429	97.8698516904	93.8340537199	8.5188957345	4.7759575483	
25000	4	-5.0772094444	9.5600630552	121.1556681347	11.3210053937	0.0150963848	0.1128523673	128.642329812	18.7446462838	16.0801297886	14.2715736144	29.2184569388	25.5421335297	22.5220053698	38.5312691628	33.6479778071	30.8315166531	47.6485709799	42.4665833416	59.7933115239	54.0853221352	49.8184084133	74.8316271706	68.9681791663	64.765752834	99.4948120753	95.2473376542	92.1141419622	8.0512324806	4.7896105802	
30000	5	-4.9967647913	10.1926676976	104.2327680136	2.4440752432	1.1349815485	3.251732312	124.6842631196	19.1336292157	16.1866566271	14.3361627696	29.5324930598	25.6019459955	22.6033199623	39.2145082371	34.0136882103	30.6023044261	47.9002135134	42.4148984833	59.4195869919	53.7554112159	49.2662149985	74.0428662862	68.4422264771	64.1141994754	97.523250013	93.6901646951	90.1944761357	8.7054530147	4.7583482002	
35000	5	-5.0092043038	10.2699834124	116.0337406521	1.3408037532	1.1350352752	1.9496181225	123.4900472179	19.2329237846	16.5295946248	14.3935114718	29.8805667765	25.8040530431	23.0305209117	39.0651038959	34.2851115729	30.8654258994	47.8484673772	42.6100597869	59.6286970619	53.9062369286	49.7513291059	73.7278513397	68.2067188066	63.7828241171	97.436286436	92.7003212861	90.311634394	8.3734868507	4.8332326714	
40000	5	-4.9387165958	8.0902245413	186.3283324781	1.8566770513	1.1615061654	3.2013017509	124.5833380203	19.2811106532	16.2558914698	14.1386316715	29.5545898733	25.6685477399	22.7427380839	39.1746832896	34.3078985785	30.2882339981	48.213929072	42.5673475269	59.5173790933	53.6264058444	49.3897672933	74.3628252383	68.5058985806	63.1080544288	98.0141791024	93.4392782825	90.4714927224	8.7712020683	4.7631519893	
45000	5	-4.8020613257	8.397273532	102.3620666486	1.8197506565	1.1843768647	0.7063503794	131.1962755236	18.9464902978	15.8521422127	13.6999203155	29.4617593938	25.0566431145	22.0261492113	39.1562790472	34.0350713543	29.9864113795	48.2324796517	42.0548649383	60.2087660798	53.3153740682	48.6836264218	75.7755306823	69.051774112	63.6196545804	101.3793421629	96.7708361683	92.2232733376	9.0574402029	4.7486177128	
