State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	rho
0	5	-3.8488328352	3.802361499	7.326913027	1.4067625644	0.7523512254	126.2566126661	19.6947782586	16.2029051511	13.9065432577	30.4051553196	25.6392276444	22.1846771832	40.3218725144	34.1466103518	29.8533834807	49.0721027216	42.5864679517	61.0805512154	54.0180102536	48.867696797	75.347730354	68.6700899452	62.9036233084	99.3725106625	94.7634284589	90.6998921553	-10.239255	4.628613
1	5	-3.852135647	2.2806531127	0.8345895584	1.2949249359	2.0787776084	126.4666794717	19.5886290196	16.1846724637	13.7238248829	30.2605198052	25.2558675534	21.721760043	39.7532984024	34.0347637946	29.8565022838	48.7508602596	42.119546469	60.7892170591	53.5804056334	48.4797310787	75.2351691831	68.6509108143	63.0978788847	99.0802602591	94.0529000651	90.0378826691	-10.394016	4.595107
2	5	-3.9011985782	2.8016017688	2.7557208087	1.2662425544	2.7808137709	130.8793776862	19.3371791207	15.9040190972	13.6338399012	29.8971538807	24.9791983643	21.7148482288	39.6310302247	33.6641459885	29.6795221746	48.8272811873	42.0181713778	61.020699767	53.9469071699	48.6870387475	76.2114895046	69.1583239541	63.6760766976	101.3536716791	96.2154271006	92.2212783045	-9.897255	4.581288
3	5	-4.1616572506	3.922897721	4.0932030291	1.1558117112	2.8234887123	129.7000903316	19.0961122757	16.1318089166	14.2480972928	29.7567714029	25.5199933055	22.5056727284	39.0449331035	34.0630578662	30.5087530108	48.2184044847	42.5340544731	60.1679808176	53.8960547633	49.2977735465	75.1918467665	69.240824806	64.5215576679	100.9137011124	96.520334071	92.45470395	-10.345005	4.497768
4	5	-3.998389968	0.645951682	2.3692543314	1.2199242827	3.3398865973	129.3330590833	19.316313496	15.9633843647	13.8957337036	29.9661713925	25.4219344438	21.9561980493	39.4368171059	33.9555888218	30.0602380777	48.6247292491	42.7002446327	60.6909414099	53.9637211946	48.9464348639	75.1869675601	69.3730925158	64.0372531175	100.996911061	95.6441877061	91.3890533754	-10.830725	4.590462
5	5	-4.0242320284	3.0569365708	0.4674407461	1.2065647611	2.28643812	126.5282077547	19.6443266407	16.2112153512	14.1416646038	30.1876635864	25.7858935411	22.6039062579	39.7926787903	34.0061725392	30.4947851444	48.5412242482	42.7009290813	60.6398241419	54.2301867319	48.8678281593	75.4022600894	69.020593415	63.6513206253	99.3562479175	94.8591575179	90.7871394343	-10.894916	4.577909
6	5	-3.820501013	2.2009986619	1.6025557448	1.3489280689	2.9729608678	127.0153993978	19.8770011955	16.3764070902	13.9073608035	30.8677386063	25.5935092859	22.1373466898	40.3822702816	34.3417770745	30.0023004032	49.3406075646	42.7143457886	61.5086969601	53.8953238778	48.653044395	76.3861918225	69.5179870198	63.3815195649	100.278981532	95.7559495592	90.9501424096	-10.075396	4.600053
7	5	-4.0942387827	2.9475076622	11.8471342986	1.2765027688	1.9124986099	127.7252717725	19.0868512356	15.9469260044	13.8492516291	29.4028055863	25.3535848892	22.2840656512	38.9191407694	33.6954177393	30.1346388234	47.8905816405	42.4215954203	60.2129639789	53.4761332769	48.8516613115	74.5509943275	68.4747597461	63.7856025473	99.1643489781	95.442657879	90.9663855949	-9.908583	4.57585
8	5	-4.0717529776	3.5610424488	17.8200707015	1.3553560852	0.7124681753	130.3869773619	18.9984471933	15.9063474578	13.7608537144	29.597552448	25.140844602	22.1221194077	39.1628425259	33.9769079937	29.9763474215	47.9287363874	42.2071612682	60.5492652926	53.768913497	49.0162653606	75.3494551464	69.1781649351	64.1764238067	101.0062025929	96.1605038919	92.1809278757	-10.330344	4.622368
9	5	-3.8023088696	2.4168530584	2.7617771542	1.3882790048	1.1309114081	125.8561367117	20.0488373147	16.3098387775	13.8805839188	30.9022377289	25.7408990425	22.1265549619	40.2877969785	34.2637790175	29.9102845658	49.5688629887	42.5907406508	61.4946723522	54.1818303909	48.698380006	75.6605610268	69.3058622758	63.3945343584	99.8531779659	94.8682587224	90.3029955383	-9.865891	4.557265
10	5	-4.147606162	1.4399565179	20.1412661641	1.3442181137	3.1341966632	130.6038119524	18.9595595973	16.1385014397	14.0085224586	29.8015326874	25.3267475602	22.5292985254	39.318730646	33.9696813639	30.419649447	48.253531275	42.4346997393	60.3703863702	53.8964092503	49.696476971	74.9799655758	69.4695774094	64.6027632083	101.6331522513	96.7934821678	93.0610726973	-10.394995	4.547391
11	5	-4.2646386123	0.9477447608	24.1316118687	1.2974862477	2.4743370689	131.7361370808	18.7140890205	15.9323548744	14.1311949231	29.1002806118	25.0767806088	22.3576875506	38.5938472229	33.7044818381	30.2040640821	47.1929926343	42.2915861133	60.0446985192	53.7802251234	49.787926403	75.0604095174	69.4561861856	64.593092299	100.7308334829	96.7162821482	93.5368981731	-10.846481	4.583612
12	5	-4.1704821317	4.050391467	27.0486869718	1.4214705804	2.4414742094	129.3657180216	18.8229594108	16.0191997116	13.9842213706	29.113952412	25.3479173652	22.2006140925	38.729508157	33.8236980038	30.155242244	47.6795211349	42.1712053076	59.9092272839	53.7174261534	49.1585409024	74.8590394942	68.76310566	64.3143915096	100.0708825986	95.439309731	92.0385360234	-10.900901	4.604623
13	5	-4.0867282715	2.4986358897	33.540388867	1.6309870346	3.3368068365	127.6851307773	18.8880633454	15.8926240881	13.8990088076	29.5094845537	25.1037743749	22.2279899371	38.8730781227	33.6923801542	30.0016107446	47.8789170143	41.7858073434	60.0048944949	53.2842684472	48.6224221714	74.9191491728	68.1034251718	63.882019837	99.326177336	95.6625810057	91.3901408157	-10.418415	4.626758
14	5	-4.0967718932	0.8810381105	31.167890507	1.5729294612	2.6156526964	128.9508831811	19.1070968998	15.9650464902	14.0283258795	29.5973688467	25.3695715133	22.3795268162	39.0920525757	34.1677727277	30.3139507165	47.9443082649	42.2432571687	60.2826931678	53.7596183388	49.3922474856	75.1693502979	68.7699097019	64.1776043137	99.7491521763	95.6886142688	91.9931268095	-11.07602	4.551804
15	5	-4.044873021	1.161654725	32.9071552021	1.7088876783	2.3084952088	127.8750061802	19.4066030167	16.2497538573	14.2174311986	30.0375339353	25.626739996	22.4631514958	39.8038553936	33.9908868108	30.5878287674	49.0400990404	42.9374702681	60.5298258889	54.0921913711	49.4378875202	75.5414773557	69.0078472291	64.8039778917	100.4247903992	95.3836378451	91.3921979649	-10.918318	4.616375
16	5	-3.7454399945	3.0578327063	34.0480781699	2.1810142325	2.8080092916	127.4377980434	19.8943878768	16.3170046645	13.996410431	30.8764709966	25.5669382647	22.1395588365	40.5216725719	34.0605931418	29.502637199	49.8099343929	42.8132589331	61.4219577816	54.0188444367	48.6431524291	76.3888985236	69.5066030216	63.4283729747	100.6180276016	95.4004027432	91.1184885259	-10.667359	4.607536
17	5	-3.9035676093	-0.0214372686	36.7501506358	1.924860422	0.5346893812	128.4838711946	19.4149806884	15.9854514367	13.733976344	30.0618163595	25.2072497444	21.8459755101	39.3289518138	33.7121220006	29.7704594885	48.6756881084	42.3681419851	60.6163822069	53.6272861968	48.3670412418	75.7347375072	68.6768465399	63.0524239994	100.8370242482	95.3100882107	91.0880558758	-12.27904	4.622062
18	5	-4.0891214501	3.0146774062	40.1405590247	1.8303946884	3.1326131147	127.0186269131	19.1695595665	16.2180757542	14.2215199136	29.6218659439	25.610529244	22.4598308539	39.3655528877	34.021123917	30.4784057098	48.2538224321	42.6344980378	60.3691793856	53.9863870003	48.9688500723	75.0295412744	68.8025589878	64.1684265117	99.936315837	94.9030624744	91.2613219887	-10.679883	4.629611
19	5	-3.7702794718	4.0951237851	45.6625881668	2.5515429317	3.085471148	128.7958521481	19.869576	16.059759	13.861951	30.853225	25.307966	21.799681	40.280553	33.830399	29.76522	49.564506	42.549301	61.545017	53.786204	48.590472	76.067851	69.10951	63.455337	101.57578	95.575794	91.285067	-11.60962	4.552718
20	5	-3.8007281197	5.3074347028	41.9005610272	2.3981051299	2.9417501328	127.127141326	19.990809	16.378063	13.936979	30.955329	25.656099	22.02781	40.548854	34.166923	29.79189	49.445158	42.792191	61.44403	54.300526	48.999207	75.917558	69.124472	63.856534	100.311404	95.026033	90.776628	-12.929029	4.512255
21	5	-3.8693796979	3.637633633	41.1538159922	2.1436171652	3.2432076242	128.1462837646	19.575484	15.921094	13.661515	30.095182	25.311777	22.115228	39.860903	33.50186	29.882884	49.132843	42.574919	61.427563	53.943434	48.502718	75.668536	69.22904	63.042799	99.615476	95.567089	91.384765	-11.059283	4.601228
22	5	-3.7784647143	2.492667079	32.1830757848	2.08112814	0.7515067994	125.4539740853	19.996248	16.370826	13.874219	30.576974	25.4625	22.102859	40.329025	34.156874	29.861727	49.611641	42.25318	61.079788	53.98482	48.905574	75.755688	68.691776	63.364158	99.360296	93.637393	90.005562	-10.498354	4.603851
23	5	-4.0025779424	3.8281244938	35.0202871333	1.81845143	1.274819498	127.2917081835	19.580789	16.12685	14.322492	30.457161	25.659249	22.722239	39.826444	34.194544	30.595399	48.517096	42.370235	60.642834	54.555577	49.163599	75.245499	68.964782	64.120133	99.871965	94.897489	91.26856	-10.977208	4.593941
24	5	-3.9678745814	2.3388168092	26.6230011591	1.5944474821	1.2487412691	130.5993700036	19.262727	15.992517	13.860456	30.004282	25.451829	22.109581	39.469452	33.833527	29.884595	48.709639	42.48228	61.106243	53.508792	49.019087	76.081566	69.202977	64.038979	101.619246	96.549398	92.079548	-10.285886	4.603015
25	5	-3.9247228959	3.1595426137	26.4794950244	1.7405635539	2.2169650546	128.0116053548	20.009823	16.440305	14.25634	30.879229	26.088842	22.779632	40.627661	34.559638	30.643106	49.674606	43.053004	61.907035	54.662883	49.559403	76.065201	69.77013	64.459248	100.949438	95.706053	92.474078	-10.425888	4.595352
26	5	-3.9853552074	2.0284216479	30.1912951989	1.7027068168	2.9455222345	126.1320500107	19.384338	16.217667	13.99413	29.89596	25.251657	22.142776	39.533562	33.835268	29.818947	48.658319	42.370576	60.09292	53.593259	49.027144	75.154927	68.181253	63.084288	99.330806	94.117364	90.603356	-10.411978	4.597903
27	5	-4.0109458318	4.185680979	33.0655257317	1.789741597	0.9581639669	126.6578713884	19.690949	16.393771	14.222084	30.53184	25.985963	22.634046	39.999028	34.56684	30.497572	49.228849	42.869863	60.928064	54.562678	49.37301	75.607219	69.390298	64.895773	99.784426	95.06949	91.602618	-11.22042	4.541785
28	5	-3.9145977909	1.3844523557	31.8369363813	1.8401063178	1.2079714169	127.9841735743	19.662781	16.2305	14.021714	30.716972	25.772811	22.270931	39.931574	34.247971	30.093141	49.155108	42.922956	61.253661	54.325823	48.999172	75.902524	69.055827	63.933204	101.196903	95.609705	91.984951	-10.778344	4.561877
29	5	-3.8469223332	0.8831058049	30.3022423144	1.8678212529	1.7461270582	128.7012002704	19.690318	16.257883	13.736842	30.465846	25.583994	22.346488	40.129545	34.000574	30.151863	49.295632	43.014694	61.248742	54.173611	48.802744	76.315764	69.4432	64.020998	101.225728	96.156395	91.650302	-11.126777	4.625583
30	5	-3.9656355527	3.2710112613	29.2644906807	1.6827236202	0.8480010527	130.1139088895	19.511677	16.319945	13.94692	30.151684	25.697546	22.220231	40.233021	34.376502	30.025953	48.905582	42.773413	61.446313	54.090033	48.976292	76.290022	69.065893	64.306724	101.054082	96.47811	92.336165	-10.521821	4.523041
31	5	-3.8611120606	1.4791117948	27.9230641568	1.7402452019	0.5705059115	128.6621495659	19.386599	15.944521	13.568045	30.328159	25.317161	21.757136	39.45398	33.733831	29.33958	48.618181	41.945387	61.084358	53.574872	48.46853	75.410527	68.646193	63.095396	100.056572	95.842572	90.992211	-10.605677	4.536758
32	5	-4.0783727482	1.1189708276	29.7992450287	1.5494971585	2.8521499374	129.7399459861	19.048971	15.946539	14.005027	29.733074	25.353723	22.307034	39.018959	33.930285	30.105641	48.248976	42.340074	60.307932	53.726555	49.686415	75.560759	69.129041	64.283527	100.567874	96.340265	92.105176	-10.850773	4.624591
33	5	-3.9374271868	1.5268585876	34.5074263196	1.9049960594	0.0090382267	125.3042792093	19.479191	16.175808	13.864043	30.24448	25.510677	22.408536	39.761147	34.074746	30.060543	48.917102	42.385407	60.929828	53.457079	48.39026	75.318654	68.562529	63.408081	99.317049	94.503816	90.663566	-10.750217	4.615537
