State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	logPrior	chiSquared	
0	5	-4.0438236238	3.5361423613	7.4771613437	1.2673503897	2.7927967556	125.3159665426	19.1763113842	16.0815660984	14.0103544303	29.6468687936	25.4492496986	22.3149665518	39.292016011	33.7877603338	30.046092543	47.9015157279	41.7568753005	59.802206888	53.3990274704	48.7739281517	74.2815773571	67.964067196	62.985092831	98.5388905808	94.0489058705	90.5304074739	-10.041272	4.604576	
10000	5	-4.0572502696	3.245165939	10.7628260518	1.2968506831	3.0406350232	129.3007180402	19.3619541978	16.052764564	14.0499493629	29.8833366879	25.7626733032	22.5078670109	39.5506547361	34.1302502163	30.2155363872	48.9218373485	42.4745505349	60.691219173	54.2579354563	49.1768356699	75.4035405504	69.178864383	64.304415243	100.5067455238	95.5716656439	92.0418764632	-10.001599	4.548027	
20000	5	-4.0553081873	5.1579483643	7.6807757556	1.2465853018	0.3426814286	130.7750260398	19.1867808243	16.057908608	14.0259825131	29.8539836333	25.4767684611	22.2127153643	39.1715883244	34.0598155107	30.2170585904	48.6471213285	42.2877906899	60.6994908993	54.6022918308	48.9911188596	76.1740569813	69.4133191797	64.5291647779	100.9222505038	96.483738777	92.7926907227	-11.70918	4.612072	
30000	5	-4.0249521576	1.8204567606	0.9187165428	1.1615898241	0.9181651869	131.8395552488	18.894705223	15.9553257397	13.5733582125	29.4959168386	25.0639349748	21.7862844378	38.9258330574	33.3989531132	29.9274911157	48.5963922844	41.9610792927	60.4453694615	53.5738374823	48.4580364209	75.6585026832	69.4480621668	64.0755390517	101.8782872134	96.1783450871	92.9099622005	-10.471942	4.606436	
40000	5	-3.9641790838	4.1872983759	1.5391118928	1.2464173595	3.2787385532	126.5433704384	19.4181691213	16.2460260309	14.0163812316	30.1320311188	25.3918731574	22.3197301417	39.7484794748	34.1964864166	30.0810167528	48.5738862613	42.3206543442	60.3284772992	54.092164797	49.1852269998	75.124788955	68.8899933933	63.8721331447	99.5132456543	94.0115303171	90.8680842681	-10.814499	4.584918	
50000	5	-4.1051305661	2.909219357	2.0073933161	1.180748979	0.213007987	126.1087794738	19.3123197414	16.3662466427	14.1273648347	29.9404053082	25.5512454754	22.5493010571	39.2382092116	34.6419448477	30.575412362	48.3434094026	42.5113158467	60.0640302769	53.8984640629	48.9369570583	74.9706709881	68.7853116447	63.8948334454	98.5719838465	94.5374385795	91.3181443746	-9.983118	4.545215	
60000	5	-4.0927038553	3.7123759615	1.7825942499	1.1656799021	1.4970536928	127.5199586821	19.1944922845	16.1071818096	13.9926886113	29.7588278851	25.3689583857	22.4805654703	39.2488127938	33.9288807367	30.1444287348	47.9602887058	42.5982538116	60.0997632024	53.8822813064	49.3492141348	75.0951330357	68.7557970645	63.6850062275	99.4356821662	95.1198342075	91.4366991969	-10.382473	4.58502	
70000	5	-4.0244569341	1.7346283364	0.6232006428	1.1966614759	3.2084482404	128.9997291087	19.424904623	16.1602712987	13.9372191774	30.0476197646	25.4283380923	22.5884107191	39.8650106135	34.1514196589	30.289657822	48.6345852245	42.84663054	60.9226658921	53.9801601472	49.2945330222	75.9442973659	69.6576957346	64.3108881138	100.833100116	96.2662028525	92.0988309921	-10.76059	4.575777	
80000	5	-3.8949247752	2.5044668706	1.252235282	1.2717967615	0.787175437	129.2620431558	19.5570423895	16.1204898096	13.7187816699	30.2708306413	25.302917204	21.9799848238	40.0452824115	33.8904725042	29.8263828285	49.2658343392	42.4384862731	61.0651041039	54.3436221993	48.7303436185	76.1976219165	69.4001954476	63.4257121133	100.9254055596	95.6835393184	92.0427302772	-10.16842	4.592174	
90000	5	-3.9454815816	3.2372002946	5.6674579939	1.3007951536	2.3234724348	127.4962982871	19.5249707961	16.0712783872	13.8398620939	30.1182462822	25.2497741135	21.9781775088	39.8939689854	33.754686897	29.821742704	48.6130799835	42.292174796	60.9450678806	53.6190916127	48.7545040238	75.6563856939	68.6125016061	63.9007257936	100.1968436452	94.5466086023	90.5654964126	-9.906054	4.562323	
100000	5	-3.7982508896	0.4807430835	6.527997312	1.4003085146	3.3427686051	127.9081516769	19.5818958284	16.0004859041	13.6913834783	30.1263189409	25.2481590256	21.8445660564	39.8370225754	33.6299381643	29.431763594	48.9476634263	41.8215748105	60.7459850601	53.4614353186	48.2028929936	75.6030073666	68.1717288913	62.8574296876	99.7400125329	94.4379520514	90.838308732	-10.881418	4.522186	
110000	5	-3.7863444616	1.3911171765	6.8598129031	1.4429022453	0.3603550932	125.7903032185	19.7048009942	16.1989761124	13.8536130244	30.4512514951	25.4246579041	21.7868634614	40.1102566435	33.8877291246	29.3534789748	49.1495831291	42.1632284547	60.9295747389	53.4247655204	48.0322119399	75.3345945862	68.3954965286	62.5993767461	99.7734278861	94.1465901428	90.3654345372	-10.111489	4.541901	
120000	5	-3.7862956232	2.7303806746	4.6758371393	1.4215477278	0.1061249511	125.789148708	20.0829230642	16.2385029681	13.7299397638	30.8679852313	25.4848252571	22.1850861461	40.5392803787	33.937505544	30.1014180561	49.7597728675	42.3202964641	61.1718059706	53.6783761506	48.6313904305	75.7590181201	68.5589806321	63.1623505709	99.3453408612	94.6905677834	89.9308636653	-9.795966	4.611082	
130000	5	-3.7704532331	0.9162397086	2.2978876687	1.4013850169	0.5157096163	124.675756689	20.1584659747	16.2699379362	13.9365026248	30.9774332617	25.4770127918	22.1932213496	40.20082661	34.1938178936	29.997452754	49.62871931	42.5050550792	61.109875223	53.7916541204	48.5158496679	75.5762976513	68.5120806729	62.9771821458	98.846015314	94.4525161911	89.5559260544	-10.585906	4.621037	
140000	5	-3.8568225114	5.2642362804	3.6907375919	1.3653833689	0.5230045558	127.6563515469	20.0295716447	16.5558279789	13.9623081446	30.8361654763	25.9506291782	22.5815487142	40.4200950403	34.1195432847	30.2027013703	49.5628988887	42.7467426696	61.7222329009	54.6079870919	49.4166291876	76.4029573188	69.4783272709	64.1619976659	100.295890983	95.4038376968	91.4116971179	-11.88328	4.522853	
150000	5	-3.9485113476	2.3153543155	3.7468228146	1.283979495	1.7738784586	127.0782201054	19.6020167094	16.1128231699	14.1154542545	30.1189056826	25.51868925	22.4543005346	39.8388028104	34.0791926005	30.0374171873	48.6891792938	42.4572402699	60.7087331818	53.8824010391	48.9784488799	75.6067483347	68.8238806955	63.5110326857	100.0311074716	94.6934899477	90.8380052748	-9.798118	4.587194	
160000	5	-3.8418222116	5.7593858585	1.3239737714	1.3209555601	1.1322823621	128.3481742948	19.7653997659	16.37143033	13.8779317544	30.5530431017	25.6203286092	22.1920092152	40.2326851054	34.3059913049	29.8202830805	49.26579231	42.7440225651	61.2198033174	54.193451093	48.6572860561	76.3659424636	69.1872551062	63.925551314	100.6374663948	95.9395636108	91.5036005319	-13.016409	4.501179	
170000	5	-4.0138976618	5.8920318806	0.1002137157	1.1817193586	2.1498514007	128.9256179648	19.1453540788	16.1434363939	13.852548655	29.6123242001	25.2766294923	22.2042530299	39.1327019208	33.8815450704	30.0945656963	48.3328733952	42.1957528965	60.5554671755	53.8295654626	48.9298823393	75.3853609257	68.7369655759	63.8249100579	100.6028912945	95.4760121248	91.6361961476	-15.602076	4.559032	
180000	5	-4.0613114416	1.7032949326	0.2177584596	1.1815801488	1.3852995571	127.1338404183	19.3180439454	16.2545257007	14.1287254683	30.0276508093	25.5814098951	22.4302337573	39.6680588192	34.3186120773	30.4019437247	48.5080024266	42.5532636252	60.8084567614	54.0360704196	49.6492481742	75.1161915471	68.8956304507	64.2075225476	100.2245214995	95.6305283197	91.3917193086	-11.720859	4.572167	
190000	5	-4.0227904185	0.3293021295	3.1154599462	1.2022232849	2.5118721538	130.1539509393	19.1183657649	15.9909540784	13.8015318791	29.6515615593	25.2620915907	22.2731326912	39.6846976342	33.8082855501	29.9212958047	48.4794214684	42.253570889	60.4272104985	53.7374889385	48.6454455878	75.6434785451	69.4559285859	64.0740413649	101.2468337214	96.3529346402	92.2399956183	-11.106649	4.578033	
200000	5	-3.9423540665	4.6874653506	4.3993729873	1.2975615662	2.4408545928	126.7847892431	19.6230207631	16.1649146146	13.9270145723	30.2565070194	25.4874205192	22.2866464337	39.8139911854	34.4258197274	29.9839943423	48.7543115913	42.4836166558	60.7565259433	54.0193266344	48.9452009629	75.5036426973	68.8719297682	63.370388343	99.6000879963	94.9700176677	91.0556376654	-11.062352	4.542413	
210000	5	-3.9392278148	1.6805601322	1.7555485353	1.2594373572	2.3372982171	126.528009824	19.5146301976	16.3133659936	13.8979763049	30.2578937182	25.4616276711	22.3195255409	39.764293345	34.208223431	29.9378552752	48.6591941877	42.5551904972	60.544346984	53.6462513039	48.7722249095	75.3180025142	68.4065932255	63.4477610482	100.0729797492	94.7492618198	90.4757076516	-10.169526	4.580796	
220000	5	-3.9917549764	2.0412391951	3.9505994678	1.2765541004	2.7105474493	127.2391275475	19.6356881547	16.4429562989	14.1986725345	30.4911521373	25.7088986576	22.4908294744	40.1427831136	34.6745903313	30.429547005	49.117572684	42.9042143425	60.7376269439	54.1690078618	49.1902040839	75.6206052464	69.4532399546	63.849757192	100.4798649122	95.4456099938	91.6531483506	-9.846935	4.557396	
230000	5	-4.0294818454	2.0474383819	10.3045773958	1.3005374906	2.6652154948	128.7092081142	19.2089674811	16.092066936	13.8858027181	30.0082653269	25.3363302172	22.3499968183	39.1687485653	33.7244813107	30.0427362771	48.4061553387	42.4024696144	60.1699006428	53.7259985344	48.9286324023	75.2254230005	69.1094258082	64.3197396654	100.6336725902	95.9859546613	91.6545368475	-9.887069	4.441071	
240000	5	-4.1857852452	4.2570918253	14.3871968707	1.2602051373	0.4574971805	127.0020771342	19.0303946773	16.1702960231	14.0838098699	29.089015655	25.4269992046	22.5954150457	38.5985820857	34.089863498	30.4418916057	47.5293941352	42.307856593	59.7798559804	53.4465664021	49.3999948981	74.6833796894	68.1797431591	64.4074158953	99.2820141575	94.5911558171	91.0435347519	-10.750433	4.624802	
250000	5	-4.0996196143	3.5463705622	10.7855794608	1.2371135582	1.336290762	129.8637619387	18.8688953175	16.0383819879	13.8207760023	29.1942401943	25.1158977666	21.8156415755	38.8574068283	33.7884860132	29.8787697872	47.7600483081	41.8949791766	60.0859503703	53.5666212632	48.9991166027	75.1901414366	68.7307853944	63.5307631278	100.3434280838	96.411453412	91.6289383773	-10.134819	4.625744	
260000	5	-4.1076278934	4.2827959888	0.4323089999	1.1805541736	3.1231308205	125.0550266777	19.4726474046	16.5877292333	14.4127729988	30.2325294173	25.6696639786	22.9387254173	39.8302323097	34.5438626622	30.6105152877	48.6538075388	42.735011856	60.5618153877	54.2513897198	49.6943246539	74.9313813504	69.088751471	64.543390698	99.0487274178	94.6799414688	90.7385142931	-11.734857	4.611131	
270000	5	-3.9974936004	4.324075425	1.0547311515	1.212459042	1.7368879837	129.0501083978	19.4553034903	16.1799811065	14.0524822845	29.9896892179	25.4869245545	22.2931725947	39.8372306054	33.9862063122	29.9326241707	48.8129640891	42.5618978387	60.8923149336	54.1845497078	49.1240599154	75.744287416	69.3894350978	64.0795320798	100.5105600094	95.7538158801	91.5353428986	-11.154934	4.511414	
280000	5	-4.1100941886	3.7768134372	2.1120711474	1.1822060895	1.2612623633	126.0536244443	19.3269536033	16.3330344925	14.2330648964	29.7634508732	25.7414111273	22.636615311	39.4565974112	34.2380699633	30.5133151764	48.4863257138	42.693753081	60.0393309985	54.06886955	49.4151970935	75.0752054777	68.6107250972	64.1066225082	99.406102863	94.5614207095	91.167969099	-10.362145	4.608215	
290000	5	-4.1328703996	3.0564695184	0.0421685928	1.1368456727	0.8883531247	126.4112474833	19.171676996	16.2306563013	13.961160131	29.597867014	25.5239428824	22.4642951855	39.0051774203	33.8472676522	30.169106659	48.186448773	42.3418163231	59.8076904868	53.6270417572	49.1612169674	75.0921284857	68.5782694545	63.6011842411	98.8927144014	95.1345423855	90.6493398508	-13.839644	4.61574	
300000	5	-4.1609650608	2.1042059662	2.027737527	1.1523090606	2.4130663937	128.7269319025	19.3289495093	16.4160057776	14.3155000316	29.9384437031	25.707931054	22.838935102	39.3584314809	34.1374423729	31.1057616459	48.1096948474	42.6577730321	60.6714309703	54.6168138411	49.8934915174	75.7787960404	69.9118493447	64.7570966728	100.6594163003	95.6824320356	92.7689340102	-10.005634	4.579799	
310000	5	-3.9703660904	2.8575017252	2.1712319883	1.2496646823	1.4393905207	128.4027314505	19.3880198597	16.2412697971	14.0387002126	30.2315097102	25.5227973086	22.2804732508	39.8642177315	34.2350915583	30.021908578	48.8269893949	42.836121585	60.9143901747	54.2912507304	49.0030057152	75.7272470432	69.5644424708	64.0318098161	100.6070013434	96.1717617664	91.77615241	-9.963776	4.587702	
