State	Model	DGtau1	DGtaudag	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	rho
0	12	-3.5691024481	4.6014304008	5.5447851319	0.4463173248	3.0321208544	28.6819175289	13.195309	14.88004	16.219067	17.57051	21.467347	22.651635	23.891358	24.589212	25.381002	11.759151	12.584697	13.191984	13.619725	13.970011	-12.685056	0.698272
1	12	-4.1696706575	4.5593658046	6.5156758733	0.4319992054	3.2306090137	28.4828768272	13.05843	15.027032	16.439046	17.820961	21.574155	22.981208	23.98828	24.687758	25.435333	12.181821	12.697465	13.309015	13.660605	13.84459	-13.684086	0.683198
2	12	-4.8773232755	4.4660374074	4.2966598158	0.4141107164	3.3826897591	27.9716599581	13.445836	15.28637	16.748763	18.233028	21.786461	23.05518	23.956961	24.462594	25.270149	12.508238	13.069894	13.425766	13.737142	13.909171	-15.133522	0.686037
3	12	-4.5164795052	4.5866206441	3.8247122009	0.4131688862	3.0617426511	28.4383769311	13.42006	15.300715	16.564327	17.798539	21.318223	22.651483	23.885469	24.575996	25.076775	12.272079	12.857818	13.322864	13.690026	13.865403	-14.313882	0.695067
4	12	-3.7230900076	4.5065957146	2.221229943	0.3990126157	3.3398565923	28.1296672127	13.041144	14.874615	16.394109	17.704017	21.626661	23.031022	23.994671	24.444811	25.204549	11.583727	12.329952	12.947843	13.344372	13.616367	-13.165248	0.689662
5	12	-4.0691882899	4.6279866259	0.4053290117	0.3896478787	3.0400281794	28.8378080818	13.109316	14.89166	16.254427	17.634365	21.513564	22.868855	23.967192	24.874031	25.557193	11.988821	12.561405	13.077059	13.54924	13.824219	-14.632402	0.680856
6	12	-5.2919412348	4.5947004089	5.8818279662	0.3795132549	3.2977859417	28.9141013632	12.993107	15.053787	16.394509	17.872112	21.776512	23.150053	24.057479	24.827187	25.604796	12.033406	12.444999	12.920738	13.235472	13.398005	-15.825138	0.68947
7	12	-3.8950357976	4.5333850561	3.2305844485	0.4103765847	3.0516643571	28.3509039371	13.602557	15.228039	16.608251	17.959444	21.514725	22.82046	23.66327	24.595959	25.214303	11.868163	12.464524	13.017622	13.38691	13.789429	-13.310412	0.698859
8	12	-4.4792761474	4.4809788105	6.7332875881	0.4280097275	3.3386994315	27.7570024501	13.258459	15.279294	16.569782	17.968337	21.650183	22.717067	23.825032	24.289998	24.845632	12.191107	12.708266	13.219785	13.541307	13.728211	-14.329892	0.685312
9	12	-4.5362014181	4.5492882814	0.604060223	0.4036478496	3.2935239312	28.1005888339	13.156505	15.084216	16.518145	17.786962	21.59212	22.873713	23.793644	24.596436	25.331575	12.337796	12.982412	13.450211	13.786332	14.043278	-15.233594	0.703787
10	12	-5.0859765922	4.4776949241	9.5107627306	0.4429968581	3.3076143383	27.6875808748	13.352679	15.336705	16.73054	17.994062	21.626511	22.720456	23.664626	24.28238	24.704002	12.376674	12.869871	13.248813	13.585563	13.664911	-15.577519	0.704278
11	12	-4.8365856996	4.5683884867	0.1471061581	0.3801915704	3.27342412	28.2035110296	13.017227	14.82973	16.382982	17.67118	21.605757	22.556022	23.798874	24.414074	25.093609	12.326556	12.890489	13.119637	13.412191	13.703279	-17.17546	0.690654
12	12	-4.7102771997	4.5386836786	3.9900596092	0.3906315398	3.2574062063	28.575017531	13.406203	15.362062	16.673723	17.972616	21.720207	23.055179	23.788985	24.687673	25.545901	12.200124	12.728124	13.150596	13.342782	13.556908	-14.712684	0.674264
13	12	-4.5201871879	4.6332919035	0.1998909468	0.3959204568	3.1333179208	28.8399856238	12.9165	14.97433	16.370195	17.614617	21.673105	22.907032	23.91343	24.749106	25.364962	12.360722	13.01522	13.408472	13.746437	14.013374	-16.143252	0.701496
14	12	-3.8514375337	4.5514612343	6.321301944	0.4212148767	3.0896525002	28.419561532	13.276574	15.209181	16.518945	17.815716	21.540021	22.838014	23.841859	24.243203	25.239193	11.787723	12.388702	12.995377	13.276707	13.744003	-13.154822	0.701675
15	12	-4.504145539	4.522757308	9.400010841	0.4084097565	3.2801877117	28.7051411171	13.342151	15.252105	16.696081	17.974831	22.018144	23.225599	24.241558	24.790234	25.503811	11.918168	12.530669	12.888776	13.134686	13.579512	-14.334008	0.676952
