State	Model	DGPost	GDagSlide	Kdiss	RateBind	barrierPos	kCat	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	logPrior	chiSquared	
0	12	-4.3577062677	4.5127288331	7.3488865855	0.4430883607	3.3997178169	27.8488875853	12.9887350664	15.0214225476	16.3716456469	17.7935545519	21.6472484698	22.7857563022	23.7559477396	24.4680971801	25.1794900364	12.239667465	12.8885983607	13.369688644	13.6937301602	13.8452141852	-14.083421	0.68856	
100000	12	-4.0170449744	4.6088433521	0.8131083997	0.4137754243	2.9406481894	28.7534055284	13.454313	15.295893	16.480795	17.803708	21.284015	22.786463	23.824793	24.706293	25.331335	12.092023	12.824768	13.475699	13.700972	14.105381	-14.039458	0.698263	
200000	12	-3.7230900076	4.5065957146	2.221229943	0.3990126157	3.3398565923	28.1296672127	13.041144	14.874615	16.394109	17.704017	21.626661	23.031022	23.994671	24.444811	25.204549	11.583727	12.329952	12.947843	13.344372	13.616367	-13.165248	0.689662	
300000	12	-3.8514375337	4.5514612343	6.321301944	0.4212148767	3.0896525002	28.419561532	13.276574	15.209181	16.518945	17.815716	21.540021	22.838014	23.841859	24.243203	25.239193	11.787723	12.388702	12.995377	13.276707	13.744003	-13.154822	0.701675	
400000	12	-4.3783817177	4.4795554452	1.6192597128	0.4132850272	3.34770835	27.8501409893	13.267772	15.291396	16.551788	17.8648	21.68186	22.927456	23.95417	24.466397	25.05718	12.406795	12.982037	13.396192	13.780719	14.023097	-14.433511	0.661179	
500000	12	-4.9636319224	4.6754737157	0.1256541817	0.3662109348	2.9934719908	29.2575320075	13.146627	15.056953	16.286709	17.588805	21.458914	22.817605	23.754583	24.80791	25.553338	12.088087	12.690638	13.04913	13.307829	13.702428	-17.511689	0.663953	
600000	12	-5.2266683164	4.6244379738	29.0074537402	0.5773476956	3.0692110611	29.2439400566	13.421842	15.226661	16.568812	17.846481	21.692346	23.176917	24.201017	24.998547	25.800979	12.352117	12.811713	13.168857	13.494103	13.717899	-16.147736	0.647546	
700000	12	-5.6455153176	4.6586132144	20.5337720888	0.47072986	2.971661569	28.7248597071	13.327474	15.009889	16.42129	17.441818	21.222945	22.627834	23.569029	24.475616	25.092614	12.127793	12.414047	12.842047	13.059913	13.37856	-16.84969	0.701513	
800000	12	-4.4222974342	4.6761595663	21.5433313713	0.5421949534	3.0171368128	29.3845082719	12.981943	14.9863	16.264567	17.625334	21.477616	23.095779	24.152835	24.935655	25.936657	12.244699	12.78975	13.292328	13.680698	13.987717	-14.330035	0.698629	
900000	12	-4.9219499995	4.6746978063	3.0373226875	0.3822329814	3.0903067905	29.7171715654	12.96388	14.920297	16.30761	17.828794	21.823646	23.256793	24.379649	25.03233	26.08884	12.210391	12.771581	13.225583	13.552262	13.778706	-15.046257	0.694271	
1000000	12	-4.3850956288	4.6600911121	0.6896153963	0.3931497601	2.982188913	29.2751943676	13.266207	15.068342	16.460661	17.686478	21.571026	22.878177	24.099087	24.872761	25.634611	12.161897	12.872269	13.355027	13.69019	13.989012	-14.732576	0.689142	
